Date,Comments
"December 23, 2024","Legos can be very expensive these days, and I wanted to get my son a good set with a storage container (very important piece) so we would not end up with Legos everywhere. The storage container is super helpful, the Lego variety is great, and it suited his age well for just wanting to build things on his own."
"December 23, 2024",Nice container for storage
"December 23, 2024",Classic toys & Lego is great…. But this is what the box looks like. My kid saw it on our porch & it blew his bday surprise. Yayyy
"December 22, 2024",Great and clean and ready to use
"December 22, 2024",Best price per brick i found
"December 22, 2024","Looking for hours of fun with bricktastic brick play, then this Lego essential is a must have for your family. One of the best purchases I have made, found this great deal on Amazon and glad I did such a variety of bricks and endless building ideas. 10 out of 10"
"December 21, 2024",Good choice for my Granddaughters first set!
"December 17, 2024",Christmas present for 5 year old
"December 15, 2024",My niece loves Legos and really wants a Lego set.  She will be very happy!
"December 11, 2024",Cool pieces Legos
"December 9, 2024",Great price and product
"December 9, 2024",Kids love them!
"December 8, 2024",Legos are always as expected
"December 4, 2024",Arrived timely
"December 1, 2024",My kids love them I have no complaints! ❤️ also comes with two booklets with piece by piece how to build some things.
"November 29, 2024","Hours of joyful fun for our 4 y.o. ! Cute colorful constructions, easy to put together."
"November 24, 2024",My nephew is 4 and has a builder’s mind. This is a perfect starter set for him to get into LEGOs.
"November 24, 2024",Kids love being able to free build with all the colors
"November 23, 2024","Very cheap for the cost of Legos nowadays, but all pieces were there, and the kids are happy."
"November 21, 2024",This set gives you tons of Leggo pieces to use with other Leggo sets Great find.
"November 14, 2024","The picture is the biggest house I could build exclusively with ALL of the 4x2 bricks included in this set.As you can see, its just enough to be high enough to cover the minifigures head (not included), but there are not enough left to build a roof.Yes, you could finish the house with other pieces, but at this price, I should have enough 4x2's to build a reasonably sized house.4x2 bricks are the workhorse of creative building with Lego, no matter how much LEGO has attempted to market smaller, more complex and specific creations as the 'new' heart of Lego, and not buildings and houses. Any child who grew up with Lego knows its *ALL* about the 4x2.This is a 790 piece set, with only *67* 4x2 bricks.On average, most colors only have FOUR 4x2 bricks - !?The 4x2 is relatively large and expensive, so Lego sells sets with really high piece count - like this one at 790 - but uses tiny pieces no one cares about to push up the piece count. In this case, only 8% of the pieces are 4x2's....and I love Lego's response to people's complaints about 4x2's - 'hey, come to our website and buy by the BRICK' - where 4x2 pieces are $.30/pc!I don't even think LEGO *wants* to sell these building sets anymore (this set was created 'by demand!'), because the vertical sales of endless expensive, complicated *model* sets of licensed characters (like its own, or Batman, Star Wars, etc) are much more lucrative. Most of these sets aren't even buildable by kids until they are competent readers who can follow complex instructions, and once they have built it, the bricks have little or no replayability. Build the model, you're done. Did I mention these model sets seem half the size of as the picture on the box?Some of Lego's model sets are completely phoned in as well - the original Minecraft sets, for example - uh, my kids and I have played ALOT of Minecraft - the original Minecraft sets - I don't even know what they were *supposed* to look like - they looked like a mess - and, of course, where Minecraft is a game of large 1 meter square blocks, the LEGO version was comprised of tons of the tiniest pieces I have ever seen. Once we opened the box, we didn't even bother building our Minecraft set, it was so disappointing.Having bought only one other model sets other than the Minecraft one, I don't even like my kids to see the model sets in the store - because yes, the cover art is exciting and cool, but I know that the out-of-the-box experience is not. Dad will wind up building the entire thing, my daughter will play with it for 5 minutes, start taking some pieces apart, and it will be nothing more than a mess of tiny toy pieces no one plays with for the rest of its lifespan.I have talked to other parents, and Lego's strategy is a universal disappointment.Lego, the 'CLASSIC' Lego experience is having a child open their first set of legos, which is mostly 4x2, so they can build big, beautiful buildings of their own imagination. You can sell your one-off model kits, but let's see you sell at least ONE set which is mostly 4x2, and bring that core experience of replayability back to kids of this generation.I chose this set because it does contain some parts I think are important for a core set - like windows, doors, and wheels - but when I see the vast number of tiny useless filler this set has, it just makes me upset about what kid's experience is with modern Lego marketing."
"November 7, 2024","Even a couple windshields and additional wheels would have been a big deal. LEGO made this ""gender neutral"" so there are at least 8 sets of windows but only enough wheels for a single car.Decoration wise it's all pretty equal and the feminine colors are beautiful, but with additional colors you are also severely limited in building, say, a wall.This set is for if you already have a big collection, not as an introduction to Lego."
"November 5, 2024",Love that the case can be used to store the legos. My nephew was thrilled.
"October 30, 2024","These sets are amazing. Great for young and old, as you use your imagination to create cool designs and objects. Great set of Legos."
"October 28, 2024",We've had this lego box for a few months now and it is still our families favorite thing to bring out and play with. We wish there were more figurines to create - but look forward to increasing our collection with the other boxes.
"October 23, 2024","My kids love them, I love that it gives me some kid free time time! Haha They keep my five year old twins busy for long stretches of time. They are durable, bright colors, packaged nicely with the colors separated. The container they come in isn't full all the way so you can add more Legos later on and have a place to keep them all together. I thought the price was fair also."
"October 22, 2024",Bought this for a birthday gift for a six year old.  Came with easy to follow instructions for independent play.  Also good for parent participation in more creative play.  Excellent choice.
"October 11, 2024",Great toy for a 5 year old to lean with
"October 6, 2024","If you're worried about the Zombie Apocalypse, this kit is a great way to secure the perimeter of your home- just open the packages of pretty rainbow coloured pieces and toss around the floor! With 790 pieces of pure torture, anyone who has ever stepped on a lego knows this will be a very inexpensive way to keep Zombies, Burglars, Assorted Bad Guys, and any barefooted adults at a safe distance. This is also a super bargain for anyone who loves building with legos, but hates the price of those little kits-- which can cost $15 and up for enough pieces for ONE specific toy build, so ya, bargain.We gave this set to a 9 year old, and unfortunately it was the second gift opened at the party...and mom and dad had to tell him to put the legos down and open the other gifts. He did, but immediately went back to the lego set and *everyone* at the party (all the kids and one of the dads) just spilled them out on a table and began to build things. So yay for me - first time I've brought the best gift!Now, the S I Z E of the bucket (adorable btw) is roughly 14"" x 10"" x 7"" -> which, after you open all the little bags with all the really pretty rainbow coloured pieces and dump them in, will look rather ""wah waaaaaahn"" if you know what I mean. (LOOK at the photo and understand that the rainbow row of pieces is what you are getting - the toys are an *example* of what you can *make* -not additional pieces, so disappointing at first unless you KNOW what you are getting.) But there are seriously 790 pieces in there and the bucket has enough storage space left over that the mom was very HAPPY to go get the other legos they had and dump them in the ""CUTE NEW LEGO BOX!"" (It looks like a giant lego) The kit comes with an instruction booklet for 3 toys to build and a link to online instructions for about 4-5 more toys. I am pretty sure you can go on pinterest and other sites and find all sorts of free patterns, so wahoo for those folks who make things and share freely.BOTTOM LINE: If you need an impressive fun INEXPENSIVE FOR WHAT YOU'RE GETTING gift, this is it."
"October 4, 2024",This is great when kids come for a visit.
"October 4, 2024",My great granddaughter loved this Lego set. She and her grandpa played with it for a long time.It was a birthday present for her 5th birthday..
"October 1, 2024","As a parent who appreciates the value of open-ended play and creativity in education, the LEGO Classic Large Creative Brick Box 10698 has truly exceeded my expectations. This building toy set is not only an excellent choice for back-to-school fun, but it's also a powerful tool that fosters imagination, problem-solving, and fine motor skills in children.Pros:Abundance of Pieces: This set is a treasure trove of LEGO bricks in various shapes, sizes, and colors. With over 790 pieces, the creative possibilities are virtually limitless.Open-Ended Play: The LEGO Classic Large Creative Brick Box encourages kids to explore their imagination and build whatever they can dream up. There are no strict instructions, allowing children to create their own unique designs and stories.STEM Learning: Through building and playing, kids naturally develop spatial awareness, problem-solving skills, and fine motor control. This set seamlessly integrates learning into playtime.Versatility: The included pieces can be used to build structures, vehicles, animals, and more. The diverse selection of bricks ensures that kids can bring a wide range of ideas to life.Parent-Child Bonding: Building with LEGO is an activity that can be enjoyed together as a family. It provides quality bonding time and a chance for parents to engage with their children's creative endeavors."
"September 29, 2024",Can't go wrong with legos. Pretty decent amount of pieces for the price. I like the reusabe lego storage bin it come in.
"September 27, 2024",Got this for my grandson so he could what he wants not a predetermined set
"September 13, 2024",Nice big storage bin. Lots of pieces. Lots of projects or room to expand your imagination. My seven year old son loved it.
"September 3, 2024","Love this set, it allows my students use their imagination and they had lots of fun. I had an issue with the post office delivering the package and the seller was very helpful solving the issue."
"August 13, 2024",Me and my 5 years old son have a lot of fun with this Lego
"August 5, 2024","I purchased these Legos for my 5 year old grandson’s birthday and he loves them and has already constructed a house all by himself!  My sons, aged 55 and 57 years old, loved playing with Legos when they were young!"
"July 23, 2024",Good Product All Around
"July 23, 2024","Another great LEGO product! The set was a great price for the number of LEGO pieces included, and I always love the yellow bins for decorating and organizing our LEGO space.The variety of pieces was great, and the instruction book included many different builds (scooter, camera, bear, house, etc.)."
"July 13, 2024","A lot of the basic pieces you need to create pretty much anything. A good supplement to all the specific sets that you buy. The set comes with some pretty great design ideas, as well. My 7 year olds were thrilled."
"May 16, 2024","“Building Memories: A Lego Adventure” is a heartwarming testament to the timeless joy of Lego. Perfect for children, these vibrant building blocks inspire creativity, learning, and endless fun. As a grandmother it is a delightful experience of building with grandchildren, proving that Lego transcends age. It’s not just a toy, but a tool that keeps the mind active and fosters precious family bonds. Dive into “Building Memories: A Lego Adventure” and discover the magic of Lego, a simple yet extraordinary joy shared across generations.You're never too young or too old to build and play with Lego. I have decided on Legos for gifting to my adult children now as well."
"November 8, 2023",I am just trying to figure out how to keep all these pieces organized in some logical and easy to use way...
"August 22, 2023","This product offers so many little brick pieces, and so many things that you can make. My daughter is absolutely obsessed."
"April 21, 2018","You can never have too many Legos! Perfect assortment of colors, shapes and sizes. Easy to use!! Very durable! Fun for all ages!"
"March 5, 2015","We bought two of these because our main lego bucket was looking a little sad. I thought these would be great but I underestimated the quantity. We have 4 kids and two adults who all love lego and we really need a larger refill option of extra pieces. That being said, it came with a ton of color variety and size/shape options. Very pleased...just need more."
