Content;Url;Date;Consumer Sentiment Classifier;Automatic Classifier
Always a great buy. This is my 6th tag and It won't be my last.;https://www.trustpilot.com/reviews/61ce37ae9f60695a25055a8c;2021-12-30T22:50:22.0000000Z;Positive;Repeat Purchase
Always fast shipping, unique tags that last forever.;https://www.trustpilot.com/reviews/6202c947bc5a51af69bc3f7e;2022-02-08T19:49:27.0000000Z;Positive;Shipping and Delivery
Always friendly. Always has helpful products to keep my animals happy and healthy.;https://www.trustpilot.com/reviews/62248783445f5107dca989d2;2022-03-06T10:05:55.0000000Z;Positive;Customer Service
ALWAYS great customer service and products. I got one of their tags free at an event years ago and have been using them ever since. The quality has gone UP in the past few years with the newer tags being virtually indestructible from what I can tell. Highly recommend to everyone.;https://www.trustpilot.com/reviews/63a221162338b6d417a233a0;2022-12-20T22:54:46.0000000Z;Positive;Customer Service
Amazing I love it I am very happy with my tag my cat loves it for sure;https://www.trustpilot.com/reviews/6222337b445f5107dca84143;2022-03-04T15:42:51.0000000Z;Positive;Tag Design and Artwork
art is awesome.  turnaround is incredibly quick. quality is dynamite and i love that they are local!;https://www.trustpilot.com/reviews/632e6401c17abd5d3c381d96;2022-09-24T03:57:21.0000000Z;Positive;Quality and Durability
As always, very happy with your products, timely shipments, and excellent customer service.;https://www.trustpilot.com/reviews/61c530270430e828ebdd4f54;2021-12-24T02:27:51.0000000Z;Positive;Customer Service
Awesome customer service as always!  Thank you for your help and a great product.;https://www.trustpilot.com/reviews/61ffd84ebc5a51af69b9baa5;2022-02-06T14:16:46.0000000Z;Positive;Customer Service
Awesome just what I was looking for it arrived on time;https://www.trustpilot.com/reviews/618d706401034f34babcab94;2021-11-11T19:35:00.0000000Z;Positive;Shipping and Delivery
Awesome product. Looks great on my American Bully.  Bought four his 4th birthday as a gift. The print is very bold. Very satisfied;https://www.trustpilot.com/reviews/633c4d434a5fff53cad6414e;2022-10-04T17:12:03.0000000Z;Positive;Tag Design and Artwork
beautiful tag, shipped quickly. Looks great on my little munchkin;https://www.trustpilot.com/reviews/620dc72dbc5a51af69c4e85e;2022-02-17T03:55:25.0000000Z;Positive;Tag Design and Artwork
Beautiful tag.  I love it!  Looks great on my sheltie!;https://www.trustpilot.com/reviews/62052fb4441cb9c24734eaa9;2022-02-10T15:31:00.0000000Z;Positive;Tag Design and Artwork
Beautiful tag. Quick turn-around. Great choices. Highly recommended.;https://www.trustpilot.com/reviews/62702a84166eb7ecbf3aeb41;2022-05-02T21:01:25.0000000Z;Positive;Tag Design and Artwork
Best customer service I’ve had in a while. What a great company!;https://www.trustpilot.com/reviews/619d3d77bd63dda48262a886;2021-11-23T19:13:59.0000000Z;Positive;Customer Service
Best quality tags I have ever purchased.  Looks great on my dogs.;https://www.trustpilot.com/reviews/62958696d557309563068242;2022-05-31T05:08:06.0000000Z;Positive;Tag Design and Artwork
Best tags around and best customer service!!;https://www.trustpilot.com/reviews/61dc7a60a16c1e751f64ef6b;2022-01-10T18:26:40.0000000Z;Positive;Customer Service
Between the wonderful customer service team and the high quality of their products, I cannot say enough good things about this company.  I certainly will continue to be a repeat customer.;https://www.trustpilot.com/reviews/6414592fb23781c84230a3f8;2023-03-17T14:12:31.0000000Z;Positive;Customer Service
Communication issues, but happily resolved.  Thank you.;https://www.trustpilot.com/reviews/6273e087f03a9893e9849f84;2022-05-05T19:22:02.0000000Z;Positive;Customer Service
Couldn't be better;https://www.trustpilot.com/reviews/6193eb814e475d8cc62f79c0;2021-11-16T17:33:53.0000000Z;Positive;None
Customer series is amazing! Errors are correctly swiftly and at no cost.;https://www.trustpilot.com/reviews/61c3b56d9f60695a25fde18b;2021-12-22T23:31:57.0000000Z;Positive;Customer Service
Dog Tag Art had a retired tag that was no longer available from from Lupine, where we purchased the matching collar and tag years ago.  It was wonderful to find it again.;https://www.trustpilot.com/reviews/6297bf67d557309563089b29;2022-06-01T21:35:03.0000000Z;Positive;Tag Design and Artwork
Dog Tag Art has a wonderful selection of tags available to choose from.  The tags are high quality and made to last.  The artwork and engraving are perfect.  They have a fast turnaround time once the order is placed.  I love the glow in the dark band that fits around the tag that’s provided with the order.  I’m very happy with my purchase and I wouldn’t order a pet tag from anyone else.;https://www.trustpilot.com/reviews/6226a0e1445f5107dcab1436;2022-03-08T00:18:41.0000000Z;Positive;Tag Design and Artwork
Dog Tag Art has the greatest pet id tags! The colors of the tags don't rub off nor does the writing. I'm on my 3rd tag. I ordered the cute as a cupcake one for my dog a few years ago, then got the same one again with updated address when I moved. I also just purchased a cute and funny tag for my kitty. As if Dog Tag Art isn't the greatest already, they often have coupons for tags on Groupon!!;https://www.trustpilot.com/reviews/63efe7ed9b64b1bdaf5ad716;2023-02-17T22:47:41.0000000Z;Positive;Tag Design and Artwork
Dog Tag Art has the very best dog tags! They are witty, creative and unique!   Quality is excellent, too!  I have been a customer for several years, through two dogs!  So many choices!;https://www.trustpilot.com/reviews/61c3e16d9f60695a25fdf107;2021-12-23T02:39:41.0000000Z;Positive;Variety of Designs
Dog Tag Art is a fabulous company! I've purchased several tags, and love all of them! They look so nice on my two dogs. I highly recommend Dog Tag Art. They're the only company that makes dog tags that I can always count on to turn out perfectly and with so many great designs!;https://www.trustpilot.com/reviews/61ba17449f60695a25f5b17f;2021-12-16T03:33:58.0000000Z;Positive;Tag Design and Artwork
Dog Tag Art is an exceptional company that produces high-quality, custom dog tags for our furry friends. I am absolutely thrilled with the product and service that they provide.First and foremost, the quality of the dog tags is outstanding. They are made from durable materials that are built to last, and the printing is clear and vibrant. The tags are also available in a variety of shapes, sizes, and designs, so you can find the perfect tag to suit your dog's personality.What sets Dog Tag Art apart from other companies, however, is their commitment to customer service. From the moment you place your order, the team at Dog Tag Art is friendly, professional, and incredibly helpful. They go above and beyond to ensure that you are completely satisfied with your purchase, and they are always available to answer any questions or concerns that you may have.Overall, I would highly recommend Dog Tag Art to anyone in need of a custom dog tag. Their quality products and exceptional customer service make them a top-notch company in the pet industry. Thank you, Dog Tag Art, for making such a fantastic product!;https://www.trustpilot.com/reviews/64353fc8da1590da58decc29;2023-04-11T13:08:56.0000000Z;Positive;Tag Design and Artwork
Dog Tag Art is the best company with fantastic customer service and tags.;https://www.trustpilot.com/reviews/628bdcaf045d025d3a9c82f4;2022-05-23T21:12:47.0000000Z;Positive;Customer Service
Dog tag was exactly as ordered. Personalized printing is clear and easy to read. Tag itself is sturdy and looks like it will last a long time.  I recommend this product.;https://www.trustpilot.com/reviews/61c38f5a0430e828ebdbee27;2021-12-22T20:49:30.0000000Z;Positive;Tag Design and Artwork
DogTag Art is great!  I can find tags for my dogs and cats.  They have tags to fit your pet's personality, for special occasions and they even have tags representing favorite bands!  You can also upload your own art.  These tags are solid.  I have been buying from DogTag Art for 3 years now, the first tag I bought is still shiny and whole.  The artwork/information on the tag has not faded at all!  Will definitely continue to be a long-time customer.;https://www.trustpilot.com/reviews/64cabfa6706f837cb1165bbc;2023-08-02T22:42:14.0000000Z;Positive;Variety of Designs
Easy website interface for making the custom dog tag, quick shipping, looks great!;https://www.trustpilot.com/reviews/61c77baa9f60695a25006b53;2021-12-25T20:14:34.0000000Z;Positive;Shipping and Delivery
Excellent app;https://www.trustpilot.com/reviews/6230dd9131617ac0e4874002;2022-03-15T18:40:17.0000000Z;Positive;None
Excellent customer service!! They resolved my problem with my dog tag immediately, Dog Tag Art is awesome!;https://www.trustpilot.com/reviews/622914326279911bbe7c24e2;2022-03-09T20:55:14.0000000Z;Positive;Customer Service
Excellent customer service, because I had a very specific order for and expectation of longevity. Because my last service dogs' tag lasted so long. I received a beautiful tag.. I'm hoping it will last many years, I can't wait to find out. YML;https://www.trustpilot.com/reviews/6426501a734f97e68f949004;2023-03-31T05:14:34.0000000Z;Positive;Customer Service
Excellent customer service.  My puppy promptly is an aggressive chewer and managed to destroy his tag in the first month and they replaced it at no charge;https://www.trustpilot.com/reviews/62335a384842703252b235e3;2022-03-17T15:56:40.0000000Z;Positive;Customer Service
Excellent quality dog tags! These are the best! I have purchased several for both my cats and dogs and have never been disappointed.;https://www.trustpilot.com/reviews/6266bf4e0c4813f76bf42917;2022-04-25T17:33:34.1320000Z;Positive;Quality and Durability
Excellent quality tags, with clear images and lightweight material. When our first tag was never delivered, they were quick to respond and send us a second tag free of charge. Our cat looks beautiful in her new tag!;https://www.trustpilot.com/reviews/6356ceb7276a7fd30bd95220;2022-10-24T19:43:19.0000000Z;Positive;Customer Service
Excellent staff that was very helpful and so polite.  Our “Maggie” looks so cute with her new tag!  Very well made & we will be ordering more in the future!  Keep up the good work & wonderful customer service!;https://www.trustpilot.com/reviews/61986d1e8931a3308730e7ba;2021-11-20T03:35:58.0000000Z;Positive;Customer Service
"Excellent Tags with fun designs!  Quality made; they stand behind their product!";https://www.trustpilot.com/reviews/62619edf7b2618e9fea23e24;2022-04-21T20:13:51.0730000Z;Positive;Tag Design and Artwork
Excellent workmanship and timely service. Love the various options for tags and the special features offered. Perfect solution for a working cow dog!;https://www.trustpilot.com/reviews/643d8785734f97e68f9fd9c5;2023-04-17T19:53:10.0000000Z;Positive;Tag Design and Artwork
Fantastic customer service! Designed a symbol that was just what I wanted. Exceptional quality & fast turn around from ordering to delivery. Would have rated 5+ had tag not had white coating. Wanted metal with no coating over tag.;https://www.trustpilot.com/reviews/644a8485746ca7dfea11c666;2023-04-27T16:19:49.0000000Z;Positive;Tag Design and Artwork
Fantastic tag. when ever i need a dog tag i come to Dog Tag Art. LOVE THEM;https://www.trustpilot.com/reviews/631b544f7f7a8621ee574a19;2022-09-09T16:57:19.0000000Z;Positive;Tag Design and Artwork
Fast delivery, quality products, excellent customer support, satisfied customers.;https://www.trustpilot.com/reviews/61faa9a6a16c1e751f7c5a36;2022-02-02T15:56:22.0000000Z;Positive;Shipping and Delivery
Fast service, great product!;https://www.trustpilot.com/reviews/627bfe83f03a9893e98ab661;2022-05-11T20:20:51.0000000Z;Positive;Speed of Service
Fast, accurate dog tags!  They stand behind their product!  I had an issue with another tag over 2 yrs. old and they replaced it free of charge!  GREAT customer service!;https://www.trustpilot.com/reviews/62e81d3d4c35e69ec52051c2;2022-08-01T20:36:45.0000000Z;Positive;Customer Service
"Fine experience again that time; received both items quickly. Only disappointing order was earlier this year, when a tag attachment piece began to shrivel and broke within months. That’s never happened before; those have always been great. Tried one more in a different color but now don’t need it anymore, so won’t know until it can be used in the future sometime. Only then would I be able to tell whether those particular ones would still be worth buying (I’d hope so as I love their color coordination factor, even if they’re overpriced.) General review of company would be: World's finest selection of artistic, top-quality tags, unquestioned--allowing every pet to sport perfectly personalized neck-bling for style and safety. Have fun looking through the troves of designs to find precisely the proper one, then finish off with the just-right choice of attachment (plus a protective rubber silencer if you so choose.) Always a good time and comes printed beautifully on both sides. Available in large for medium/large dogs and small for small dogs & cats.";https://www.trustpilot.com/reviews/62f4eb244c35e69ec529fa36;2022-08-11T13:42:28.0000000Z;Positive;Quality and Durability
From start to finish the ordering process was very easy. Received items before expected and they were exactly as ordered. Will purchase from Dog Tag Art again;https://www.trustpilot.com/reviews/646d5efc706f837cb1f089aa;2023-05-24T02:49:00.0000000Z;Positive;Ease of Ordering
Front AKC CGC design looks great, but the backside name and number part of the tag smudged soon after putting it on my dog's collar. Overall pleased with size of tag and front design.;https://www.trustpilot.com/reviews/6262e6077b2618e9fea33992;2022-04-22T19:29:43.1710000Z;Positive;Tag Design and Artwork
Fun tag to show people our dog passed the AKC K9 Good Citizen training. Website was easy enough to navigate and tag came at a reasonable price and shipping time. Thanks!;https://www.trustpilot.com/reviews/624d6ca32b3c3c43cfca5493;2022-04-06T10:34:11.0000000Z;Positive;Customization and Personalization
Gosh I had a very specific request, not anything like a typical dog tag verbiage and bam!! No hesitation and the tag was sent out like the next day.  I even emailed customer service to be sure they understood my request and the rep was on it!!!!!  You can't go wrong with these guys 💓 I forgot to add that the tag is gorgeous, very well done!!;https://www.trustpilot.com/reviews/625479e82b3c3c43cfcfbd9b;2022-04-12T11:35:21.0000000Z;Positive;Customer Service
Got a custom dog ID tag for my pup. It turned out perfect! I love it.;https://www.trustpilot.com/reviews/6266c3390c4813f76bf42dc3;2022-04-25T17:50:17.8610000Z;Positive;Tag Design and Artwork
Got my tags and was really impressed.  They were easy to put together , the tag protector ring glows in the dark and my dogs love them;https://www.trustpilot.com/reviews/63fd9802d143b326fe415137;2023-02-28T07:58:26.0000000Z;Positive;Tag Design and Artwork
Got our tag in a timely manner and everything was correct on it.;https://www.trustpilot.com/reviews/61a64c4ac75e48ca5867c2e4;2021-11-30T16:07:38.0000000Z;Positive;Shipping and Delivery
Great comminication with customer service, fast shipping, very easy to personalize and create your tag. I'm 100% satisfied with my tag.  Thank you;https://www.trustpilot.com/reviews/64f7503df3d3c34bf2d627e3;2023-09-05T17:58:53.0000000Z;Positive;Customer Service
Great customer service and a great dog tag that will last a lifetime. We had one of our tags that was nearly non- legible and they replaced it no problem. Would buy and recommend Dog Tag Art to anyone.;https://www.trustpilot.com/reviews/63d07f824b01fb3f548c0c7e;2023-01-25T03:01:54.0000000Z;Positive;Customer Service
Great price for a unique dog tag. Turn around time was fast, and shipping was fast as well. Thanks;https://www.trustpilot.com/reviews/61c0de0f9f60695a25fb3ccd;2021-12-20T19:48:31.0000000Z;Positive;Shipping and Delivery
Great product and a great customer service  my boy has had his tag sence 2015;https://www.trustpilot.com/reviews/628f93694b16276ac9912c52;2022-05-26T16:49:13.0000000Z;Positive;Customer Service
Great product and service.  Amazing choice and the team are responsive and always willing to help - even if you are in a different country (we are in the UK).  Our dog loves her tag!We’ve made a number of purchases over the years and will continue to do so..;https://www.trustpilot.com/reviews/6334be12272def1ea67a818a;2022-09-28T23:35:14.0000000Z;Positive;Customer Service
Great product I couldn't find anywhere else (a Charlie Brown dog's nametag) and not only was it exactly what I had hoped it would be, but also arrived promptly. Very happy with my purchase....;https://www.trustpilot.com/reviews/63a0e2162338b6d417a10ea3;2022-12-20T00:13:42.0000000Z;Positive;Shipping and Delivery
Great product, great price.  Very happy with it. I will use them again in the future.;https://www.trustpilot.com/reviews/6238d06eab0a5e0f747f5c3e;2022-03-21T19:22:22.0000000Z;Positive;Repeat Purchase
Great product, great service, fast and easy to use! Thanks for sending out our Canine Good Citizen dog tags - Sunshine and Rocket are proudly wearing them around the neighborhood!;https://www.trustpilot.com/reviews/625836202b3c3c43cfd2cec7;2022-04-14T14:56:32.0000000Z;Positive;Customer Service
Great product. Having to get a new tag for our dog I opted for a nasa one. It came and I was really impressed, not only with the logo but with how the details of our dogs name and other information was printed on the back. Can honestly say I will use again.;https://www.trustpilot.com/reviews/6213b87fba48cd57a29e916f;2022-02-21T16:06:23.0000000Z;Positive;Tag Design and Artwork
Great product. Well made.;https://www.trustpilot.com/reviews/61ca12110430e828ebe032ae;2021-12-27T19:20:49.0000000Z;Positive;Quality and Durability
Great products and even better service;https://www.trustpilot.com/reviews/61c4bc4b0430e828ebdcfc64;2021-12-23T18:13:31.0000000Z;Positive;Customer Service
Great quality tags.  I’ve ordered many from this company and they never disappoint. Love Dog Tag Art;https://www.trustpilot.com/reviews/61c5c52e0430e828ebddab52;2021-12-24T13:03:42.0000000Z;Positive;Quality and Durability
Great quality, speedy service and reasonable price. Love the guarantee.;https://www.trustpilot.com/reviews/624ddbc8c7628b203ba4c060;2022-04-06T18:29:33.0000000Z;Positive;Quality and Durability
Great quality.  Easily read and nice designs.  Very pleased!;https://www.trustpilot.com/reviews/61c0b37d9f60695a25faf822;2021-12-20T16:46:53.0000000Z;Positive;Tag Design and Artwork
Great service;https://www.trustpilot.com/reviews/6284ffe24b16276ac9893286;2022-05-18T16:17:06.0000000Z;Positive;Customer Service
Great service, quick delivery, fun creating custom tags. Love supporting small business too!;https://www.trustpilot.com/reviews/61c4bab79f60695a25fec9ac;2021-12-23T18:06:47.0000000Z;Positive;Customer Service
Great tag / super colors and quality;https://www.trustpilot.com/reviews/6255aa61c7628b203baa87b2;2022-04-12T16:35:45.0000000Z;Positive;Tag Design and Artwork
Great Tag!  Fast service!;https://www.trustpilot.com/reviews/6266d65b0c4813f76bf44530;2022-04-25T19:11:55.4270000Z;Positive;Speed of Service
Great tags, great service, fast shipping!;https://www.trustpilot.com/reviews/61c732c89f60695a25003cff;2021-12-25T15:03:36.0000000Z;Positive;Shipping and Delivery
Great to work with and love new tags.;https://www.trustpilot.com/reviews/628bf408045d025d3a9c994c;2022-05-23T22:52:24.0000000Z;Positive;Customization and Personalization
Great website and very easy to navigate and make purchase.;https://www.trustpilot.com/reviews/622fedd331617ac0e4866a50;2022-03-15T01:37:23.0000000Z;Positive;Ease of Ordering
happy, happy, everybody happy!;https://www.trustpilot.com/reviews/6266cb3e0c4813f76bf43788;2022-04-25T18:24:30.5160000Z;Positive;None
HIgh quality tags, cute designs. Large enough to read the dog's info.;https://www.trustpilot.com/reviews/620ba73abc5a51af69c2fc42;2022-02-15T13:14:34.0000000Z;Positive;Tag Design and Artwork
High quality tag, turned out just how I imagined the tag I wanted for my cat;https://www.trustpilot.com/reviews/6261cd7f7b2618e9fea26819;2022-04-21T23:32:47.3160000Z;Positive;Tag Design and Artwork
High quality, fast service.;https://www.trustpilot.com/reviews/620bd2b0bc5a51af69c33950;2022-02-15T16:20:00.0000000Z;Positive;Quality and Durability
Holly and the entire team.  Understanding my special shipping requirements and responding quickly and professionally to my concerns.  Can’t forget the extra TLC thaybeent along with my order.  Annabel sends huge doggy kisses!!!;https://www.trustpilot.com/reviews/636aa303b84cc27618e607ae;2022-11-08T20:42:11.0000000Z;Positive;Customer Service
I absolutely love Leo’s new St Joseph dog tag and the glow in the dark protector that I also ordered. Leo is a Yorkie and the tag is perfect because it is lightweight and doesn’t bother his neck!! Would definitely order again!! Shipping was also quick!!;https://www.trustpilot.com/reviews/63d3e5124b01fb3f548ecf3f;2023-01-27T16:52:02.0000000Z;Positive;Tag Design and Artwork
I always dress my fur babies with the best so that is why i choose you!Always happy with the awesome tags with the best quality engraving. Highly recommended!;https://www.trustpilot.com/reviews/61c08d2f9f60695a25fabbe4;2021-12-20T14:03:27.0000000Z;Positive;Tag Design and Artwork
I always order my dog tags from here. They are cute, well made and arrive quickly.;https://www.trustpilot.com/reviews/62680c417b2618e9fea684b6;2022-04-26T17:14:09.8210000Z;Positive;Tag Design and Artwork
I am a repeat customer. Always delighted with my purchases.;https://www.trustpilot.com/reviews/6238ed3fab0a5e0f747f7799;2022-03-21T21:25:19.0000000Z;Positive;Repeat Purchase
I am happy with the finished product, however, I didn’t appreciate the fact there was no way to track the order. I reached out via email, but never heard back. Someone did call me and said that they did respond to my email - I just never received it.;https://www.trustpilot.com/reviews/6304f6807f7a8621ee475203;2022-08-23T17:47:13.0000000Z;Negative;Customer Service
I am super impressed with my photo tag! The quality is superb and shipped so fast!  I highly recommend dogtagart. I have two so far. I will do business again! Thanks for your wonderful talents!  Renee from Alabama;https://www.trustpilot.com/reviews/63d2f31d9b64b1bdaf443615;2023-01-26T23:39:41.0000000Z;Positive;Tag Design and Artwork
I bought them for the unique/fun designs, but am extremely impressed with the quality and durability. My dog is a fun loving outdoor wild child and these are holding up despite his ‘best efforts’ to mark them up or destroy them in the daily. Customer service was A++ as well, resolved my minor problem via emails within just a few hours. Would recommit anyone:);https://www.trustpilot.com/reviews/63a505294d0773066a22c493;2022-12-23T03:32:25.0000000Z;Positive;Quality and Durability
"I can always find a tag to go with any collar that I purchase.  Excellent quality and fast service!  The last tag I purchased was ""Lean Green Irish Machine"" to go with his St. Patricks Day collar.";https://www.trustpilot.com/reviews/6412367a1f08d0d08489750a;2023-03-15T23:19:54.0000000Z;Positive;N/A
I can't even count how many tags I have from Dog Tag Art.  I like changing them and we get many compliments from the beautiful work of art on the tags.  This is the ONLY place I get our dog tags from!;https://www.trustpilot.com/reviews/645a9160746ca7dfea19b10e;2023-05-09T20:30:56.0000000Z;Positive;Tag Design and Artwork
I couldn't locate a 'gift card' on the website, so I reached out to their customer service and received a prompt response with a direct link to purchase the gift card. I have used their gift cards in the past for my own dogs and really appreciated the options provided for designs and writing on the back of the tag. I wanted to spread the joy of a unique, custom dog tag, so I've bought gift cards for my sisters who have recently adopted their own dogs! Very thrilled with the ease of purchase and quick shipping.;https://www.trustpilot.com/reviews/63dfc7979b64b1bdaf4daa90;2023-02-05T17:13:27.0000000Z;Positive;Gift Cards
I did not receive my tag after 2 weeks and the gentleman on the phone, issued a replacement with no problems.  He was very understanding and courteous.;https://www.trustpilot.com/reviews/6320a3706a3e1ed2c3d1c25d;2022-09-13T17:36:16.0000000Z;Positive;Customer Service
I don’t give out 5 stars often but these are seriously the best tags I have ever found!  Engraved tags wear down-even the best ones on the market.  These just don’t.  I have had 5 Australian Shepherds wearing these tags day after day-with other tags on their collars.  Other than  having been chewed (they have tooth marks!) and tugged on, you can still read them!  The color nor the writing is worn or faded.   Amazing!;https://www.trustpilot.com/reviews/6334fa58dd31f5f875b57b35;2022-09-29T03:52:24.0000000Z;Positive;Quality and Durability
I gift my dog a tag for Christmas every year!  Beautiful artwork, durable, more lines to write information and thoughts!  We (my dogs and I) highly recommend Dog Tag Art!;https://www.trustpilot.com/reviews/63be25aa2338b6d417b613cc;2023-01-11T04:57:46.0000000Z;Positive;Tag Design and Artwork
I had a great buying experience with Dog Tag Art! I was a little concerned that my font choice and size wouldn’t match my ‘design’, but the dog tag turned out great! Without any hesitation, I would buy from Dog Tag Art again!;https://www.trustpilot.com/reviews/64875a4e706f837cb1fd4255;2023-06-12T19:47:58.0000000Z;Positive;Customization and Personalization
I had an order for one dog tag that was designated shipped over two weeks ago that I hadn’t received.  I contacted customer service twice with their form email on their website and did not receive a response to either inquiry.Edited to add: Dog Tag Art contacted me and replaced the order I did not receive.  I appreciate that.  The quality is very nice although my dog has found a way to chew on the tag.  He hasn’t made enough progress to render the tag useless, but I was a little surprised he could make teeth marks on it.;https://www.trustpilot.com/reviews/636ada3ab84cc27618e63ad7;2022-12-05T15:40:11.0000000Z;Negative;Customer Service
I had originally tried to order for delivery to Australia but it wasn’t listed an option. I sent an email and was informed that due to issues with UPS they had suspended shipping to Aus which is fair enough. A few weeks later I received an email from Holly to inform me that they had resumed shipping to Aus - I promptly ordered and my tag has arrived today precisely as per my customisation. Great customer service and product.;https://www.trustpilot.com/reviews/62ce54634c35e69ec50d79fa;2022-07-13T07:13:07.0000000Z;Positive;Customer Service
I had previously bought two tags for my dog and the lettering was no longer legible. I made one call to customer support and was able to use the warranty to replace the tags with the new upgrades. The agent was courteous and very helpful.  Great job!;https://www.trustpilot.com/reviews/63503a459b12f67dfee5b8e9;2022-10-19T19:56:21.0000000Z;Positive;Customer Service
I have 4 dogs and they all have a tag from dog tag art. The tags are durable, clear, and adorable! There are so many design options… I highly recommend dog tag art if you are looking for a pet tag!;https://www.trustpilot.com/reviews/651eaa7466795625d26f78c9;2023-10-05T14:22:12.0000000Z;Positive;Tag Design and Artwork
I have been ordering tags from Dog Tag Art for at least 15 years. The tags are always good quality and they have a great selection of styles to chose from. I ordered one for my 15 year old cat when he was a kitten and it is still, after 15 years, in excellent condition.If your cat / dog is a chewer, make sure the tag is close enough to their collar so they can't get to it to chew on it. That is in no way a criticism of the tag itself.;https://www.trustpilot.com/reviews/636a9a54b84cc27618e5fc84;2022-11-08T20:05:08.0000000Z;Positive;Quality and Durability
I have bought multiple tags from Dog Tag Art throughout the years because they are high quality, easy to read and last for a long time. Well worth the money.;https://www.trustpilot.com/reviews/623b53faab0a5e0f7481580a;2022-03-23T17:08:10.0000000Z;Positive;Quality and Durability
I have bought my dog tags from this place for 12 years. I have three dogs and they have always been great . When my little chihuahua had to have both eyes removed I made a personal tag and now it is on there list to buy.;https://www.trustpilot.com/reviews/63c4c3d62338b6d417bb178a;2023-01-16T05:26:14.0000000Z;Positive;Customization and Personalization
I have bought quite a few tags and tag holders over the years and they are great.  Quick shipments.;https://www.trustpilot.com/reviews/6297ade435343b8f5b5ea35a;2022-06-01T20:20:20.0000000Z;Positive;Shipping and Delivery
I have bought tags from dog tag art for over 7 years . I noticed lupine pet used them to match the microbatch designs & I always order those to match the new collars. I have 4 dogs so lots of tags. I got this recent one bc my sweet Labrador started having seizures . I was able to not only get a medical tag , but add his dosage & medicine etc!( I wish I could order a tiny waterproof pill holder to attach to his collar -since this co is so good w medical alert tags maybe they can make a similar lightweight dosage holder ?) These are perfect  tags ,- even the rubber things that go around the tags to quiet them are superior! Most are junky - these actually FIT and work as designed ! Very happy w my recent order!;https://www.trustpilot.com/reviews/642b22c2734f97e68f96fbdf;2023-04-18T05:41:18.0000000Z;Positive;Customization and Personalization
I have bought these dog tags for a few years now. My last order arrived late and I assumed it was lost, I was promptly given a replacement order. Excellent  customer service! The tag styles are fun and a ton of variety to choose from. I have a few for each of my dogs.;https://www.trustpilot.com/reviews/6207079fbc5a51af69bfd4bc;2022-02-12T01:04:31.0000000Z;Positive;Customer Service
