"Content","Date","Consumer Sentiment Classifier","Automatic Classifier"
"Ce qui est plutôt satisfaisant avec Autohero, c’est que derrière la démarche et la transaction INTERNET, il y a immédiatement des ÊTRES HUMAINS !!!! Voilà un aspect rassurant surtout lorsqu’il s’agit de l’achat d’une voiture… Rien à dire sur le processus, depuis le premier coup de fil jusqu’à la livraison. Mention spéciale à Monsieur le livreur, Hassan qui se reconnaîtra j’espère, calme, professionnel et fort sympathique.Autre point très important : le produit livré s’est avéré (pour l’instant du moins) très fidèle à sa description numérique.","2024-01-11T23:12:54.0000000Z","Positive","N/A"
"Nous regardions pour une voiture un peu au hasard sur internet et notre choix s'est porté sur un véhicule de chez auto héroMis à part de nom, nous ne connaissions pas Bilan, après des hésitations, nous nous sommes décidés et nous n avons aucun regret !!!!Les personnes de chez auto héro ont été à l'écoute, disponibles et très professionnellesDu début à la fin , tout s'est très bien passé. Plusieurs appels au fur et à mesure de la procédure d'achat et un suivi sur internet impeccable Cela a été plus rapide que prévu pour un rendez-vous pour récupérer notre véhicule qui était conforme à l'annonce La voiture est top , nous n avons aucun regret Quelques jours après, un nouvel appel pour vérifier que nous étions satisfait et que tout s était bien passé Je n hesiterai pas à regarder directement chez eux à l'avenir, beaucoup plus sérieux et pro que certains concessionnaires","2024-01-16T22:05:21.0000000Z","Positive","Professionalism"
"J'ai pris mon temps et j'ai fini par trouver une petite pépite donc je suis extrêmement satisfaite.L'agent qui a pris tout en charge pour m'aider à trouver ma voiture,qui se reconnaîtra et s'appelle Arthur, a vraiment mis tout en œuvre pour me faciliter toute démarche administrative m'a énormément renseigné sur la voiture, m'a conseillé, m'a guidé tout au long de l'achat qui s'est extrêmement bien déroulé jusqu'à la livraison de la voiture.Je suis extrêmement ravie heureuse car c'était la première fois que j'ai acheté une voiture et tout s'est déroulé à merveille merci à toute l'équipe.Je vous souhaite à tous mes meilleurs vœux pour l'année 2024.","2024-01-10T14:01:41.0000000Z","Positive","Satisfaction with Purchase"
"Hausse de prix d'une voiture en remisseAprès avoir vue une voiture correcte, avec un prix qui avait une remisse de 2600€ j'ai appelé vendredi mon conseiller Autohero Jason et lui dit que je me décidé le lendemain samedi après avoir parlé avec ma banque.Le samedi au moment de faire la réservation sur internet SURPRISE la voiture avait monté de 600€ (J'ai les captures d'écran à l'appui) donc j'écris encore le conseiller mr J. pour comprendre cette hausse de prix et me dit qu'il ne peux rien et faire que le siège lui a dit que c'était un erreur!Est ce normal le prix qui montent et descends quand ça leur chante ce n'est pas sérieux ni sécurisant pour moi/pour nous les utilisateurs!Vanessa S.Ps: mr J. du service commercial a mes cordonnes!","2024-01-27T07:02:00.0000000Z","Negative","Pricing"
"Très bonne expérience après vente avec autohero, j’ai acheté la voiture il y a 4 mois, un Qashquai, la voiture était très propre à l’intérieur mais ils ont été réactif et ont payé à hauteur de 50 euros pour le lavage, ensuite un petit souci auquel ils ont aussi remboursé à hauteur de 134 euros. Ce n’est pas parfait, mais c’est rassurant d’être bien pris en charge après l’achat donc je recommande, ils sont reglo.","2024-01-22T14:02:38.0000000Z","Positive","After-Sales Service"
"Suite à ma demande de contact j'ai été rappelée très rapidement et les explications données par le conseiller commercial étaient très claires. La livraison a été plus rapide que prévu et s'est parfaitement bien déroulée avec une procédure très rigoureuse. La voiture correspond tout à fait à l'annonce. Je recommande!","2024-01-05T12:19:14.0000000Z","Positive","N/A"
"Les services Autohero 5 étoilesDes personnes gentilles polies efficaces, un grand merci à elles.Dossier, réservation, livraison 5 étoilesRien à dire d'autre que exceptionnel.Seul bémolLa voiture sent fort du pot d'échappement, ça fait un problème à régler. Je m'en suis rendu compte trop tard pour faire la réclamation. J'adore ma nouvelle voiture (fiat panda 2014 diesel) super état mais déception sur ce problème.","2023-12-15T20:57:40.0000000Z","Positive","Vehicle Condition"
"Je recommande fortement !! Ils sont très à l'écoute ,très réactif. Les démarches ont été extrêmement facile et j'ai été guidé tout le long. Une mention spéciale pour la personne adorable qui s'est chargé des papiers pour reprendre mon véhicule et pour le nouveau véhicule. Un accueil vraiment au top . Vous pouvez y allez vraiment les yeux fermés et en toute confiance.","2023-12-28T18:13:57.0000000Z","Positive","Customer Service"
"J’avais des appréhensions comme c’est ma première voiture sur internet, arnaque ect… J’ai eu plusieurs échange téléphonique avec un conseillé vendeur qui m’a guidé et donner des renseignements. En suite l’étude de mon dossier m’a rassuré et on est tenu au courant très régulièrement pareil pour la livraison. Ça a été assez rapide ( en un peu plus d’un mois j’ai eu la voiture). Livreur vraiment très gentil qui également explique tous les papiers.Puis on nous remet les clefs et c’est partie. Quelle belle surprise, la voiture était nickelle et j’en suis très contente, y avait même la roue de secours. On a 20 jours d’essais. Ça fait deux semaines que je l’ai. Je compte la garder je suis complémente satisfaite. Merci pour le suivi client !","2024-01-17T17:50:02.0000000Z","Positive","Purchase Process"
"Je note plus la livraison et la correspondance du véhicule à l'annonce. Après 30 jours je n'ai pas eu de soucis particulier sur le véhicule, je l'ai donc gardé, et j'en suis très satisfait. La possibilité de le retourner sans frais avec un remboursement à 100% m'a fait sauter le pas et acheter sur internet et je n'ai pas été déçu.","2023-12-28T23:13:15.0000000Z","Positive","Satisfaction with Purchase"
"Facilité d'accès au cite et aux pages dédiées aux véhicule.Descriptifs et détails visuels parfaits.Disponibilité et réactivité du service commercial et très bon suivi de la commande.L'option livraison à domicile quel confort, sans parler de la dispo pour la prise en main de la voiture.Bien que septique pour un achat à distance sans voir le véhicule, je suis entièrement satisfaite de la prestation de Autohéro sans même parler du prix qui était très attractif.","2023-12-22T10:07:28.0000000Z","Positive","Online Buying Experience"
"Sceptique au début c’est vrai, j’ai fais un certain nombre de site pour vérifier la fiabilité de l’enseigne.Je vous recommande les yeux fermés autohero !Prix compétitif, la transparence, l’écoute, la rapidité du traitement de question et de l’achat.Je suis plus que ravie d’avoir acheté mon véhicule sur autohero.","2023-12-14T21:50:11.0000000Z","Positive","Satisfaction with Purchase"
"Dès le premier contact,  le service commercial a su apporter toutes les réponses à nos questions. Le process de commande est cadré et rassurant. La description du véhicule est très claire et transparente avec la fourniture des factures et CT.Voiture livrée très rapidement par une personne compétente et à l'écoute. En conclusion,  une très bonne expérience que je recommande pour un achat en ligne.","2023-12-19T13:57:47.0000000Z","Positive","N/A"
"La voiture correspond aux attentes. Par contre, plus de 4 mois d'attente (plus sans dispositions prises) pour la carte grise avec l'option pour laquelle autohero se charge de l'édition de la carte. Aucunes nouvelles, aucunes relances, ils se renvoient la balle, vous prenne pour un lapin de 3 semaines mais ont bien encaissé l'argent. Donc carte grise faite par mes propres moyens... Avec 5 mois de retard. Un service administratif d'incompétents !","2023-12-19T10:54:40.0000000Z","Negative","After-Sales Service"
"J'ai fait l'acquisition d'une Audi A5 Coupé chez Autohero. Tout s'est très bien passé dès la prise de contact avec le service commercial, qui m'a bien accompagné tout au long du processus d'achat. Le rendez-vous de livraison fut pris très rapidement, et je fus heureux de trouver un véhicule conforme à l'annonce, bien révisé et bien nettoyé. La garantie 1 an est également très sécurisante.Je recommande Autohero pour son sérieux et la qualité de ses véhicules ! Merci !","2023-12-08T16:29:32.0000000Z","Positive","Satisfaction with Purchase"
