Content,Url,Date,,Consumer Sentiment Classifier,Automatic Classifier
"Se sei alla ricerca di un rivenditore affidabile per le tue capsule di caffè, ti consiglio di dare un'occhiata a questo negozio online. Ho avuto l'opportunità di acquistare diverse confezioni di capsule da loro e sono rimasto molto soddisfatto del servizio offerto.Innanzitutto, il sito web è molto facile da navigare e trovare ciò che si sta cercando è un gioco da ragazzi. Inoltre, la varietà di capsule disponibili è eccezionale, con molte opzioni tra cui scegliere per soddisfare i gusti di tutti.La spedizione è stata veloce e le capsule sono arrivate in perfette condizioni. Inoltre, i prezzi sono molto competitivi rispetto ad altri rivenditori online.Infine, il servizio clienti è stato davvero eccellente. Ho avuto un piccolo problema con una delle confezioni di capsule che ho acquistato e il team di supporto è stato rapido nel rispondere alle mie domande e risolvere il problema.In sintesi, se sei alla ricerca di un rivenditore affidabile per le tue capsule di caffè, ti consiglio vivamente questo negozio online.",https://www.trustpilot.com/reviews/6507d008a593c409bb3a2d97,2023-09-18T06:20:24.0000000Z,,Positive,Wide Product Range
"Azienda seria, professionale e rapida nella spedizione delle merci. Ho acquistato diverse volte un numero consistente di capsule caffè Borbone red compatibili Lavazza A Modo Mio e ho riscontrato la qualità cercata. Consigliatissimo!",https://www.trustpilot.com/reviews/649d7f522255a7b62064addb,2023-06-29T14:55:47.0000000Z,,Positive,Good Quality
Servizio clienti a dir poco magnifico Ho avuto un problema con il corriere e non riuscendo a risolvere il problema da sola ho mandato una email al servizio clienti e loro in un battibaleno mi hanno risolto il problema... personale gentilissimo e consegna super veloce...acquisterò ancora,https://www.trustpilot.com/reviews/64943c4fdaf69b5a16843e63,2023-06-22T14:19:27.0000000Z,,Positive,Great Service
buon fornitore. ampia scelta prodotti a prezzi concorrenziali. consegna veloce e con imballo adeguato. ottimo il servizio clienti. finalmente qualcuno che risponde al secondo squillo.,https://www.trustpilot.com/reviews/64774dd2c4234462866d5dfd,2023-05-31T15:38:27.0000000Z,,Positive,Satisfying Transaction
"Sono cliente Businesscaffe da un po’ di tempo e non ho nessun motivo per cambiare.Prezzo concorrenziale, Velocità di consegna e Serietà.Tutto questo costruisce un rapporto di fiducia e diventa difficile sperimentare altre strade.Squadra che vince non si cambia ed io tifo per Businesscaffe.",https://www.trustpilot.com/reviews/6311dbb87f7a8621ee50750f,2022-09-02T12:32:24.0000000Z,,Positive,Satisfying Transaction
Acquisto sempre conveniente 1000 caspsule kimbo intenso per nespresso. Molto disponibili anche a telefono come sempre. Capsule di recentissima produzione. Spedizione velocissima. Lo consiglio vivamente . Ordino sempre da loro e mai nessun disguido. Continuate cosi !!!!.,https://www.trustpilot.com/reviews/637c9f55252cba2c02dffb8d,2022-11-22T12:07:17.0000000Z,,Positive,Fast Shipping
Il prodotto acquistato è da sempre il mio preferito e Business caffè perfetta nel rispetto dei tempi e modalità  di consegna,https://www.trustpilot.com/reviews/654271b5efb0d1ecb57f42cf,2023-11-01T17:41:41.0000000Z,,Positive,Satisfying Transaction
"Una spanna sopra tutti per qualità dei prodotti e attenzione ai dettagli. Ho girato molto alla ricerca di un sito che potesse soddisfare le mie aspettative. Suggerito da un'amica, non lo lascerò mai più!",https://www.trustpilot.com/reviews/65217214a2dba32c014ccd59,2023-10-07T16:58:28.0000000Z,,Positive,Good Quality
"DEVO DIRE CHE NON CONOSCEVO L'AZIENDA. CHI MI RIFORNIVA DA PIU' DI 10 ANNI PER UN TIPO DI CAFFE' NON ERA PIU' NELLE MIE ASPETTATIVE. GIRANDO SUL WEB HO TROVATO BUSINESSCAFFE' CHE M I HA CONVINTO PER LA PRESENTAZIONE DEI PRODOTTI TRATTATI. ORA SUI PRODOTTI RIFERIRO' IN UN ALTRO TEMPO MA PER QUELLO CHE RIGUARDA L'IMBALLAGGIO,LA VELOCITA' DI CONSEGNA,L'AVVISO CON EMAIL  E' STATA TRA I PIU' VENDITORI  CHE CONOSCO A MERITARE  LE CINQUE STELLE ( ANCHE SEI ).DI CONSEGUENZA LA CONSIGLIO.",https://www.trustpilot.com/reviews/63bfe4c22338b6d417b77be8,2023-01-12T12:45:22.0000000Z,,Positive,N/A
"Rivenditore affidabile , Serio e Tempestivo . Prezzi concorrenziali , Consigliato!!",https://www.trustpilot.com/reviews/65b91c2cfcf35500ea69fdb0,2024-01-30T17:56:29.0000000Z,,Positive,Reliable Delivery
"Ho acquistato cialde caffè e cialde ginseng.Spedizione rapida, collo ben impacchettato.Consegna precisa.Sono molto soddisfatto. Consigliato al  cento per cento.",https://www.trustpilot.com/reviews/63c97dcb9b64b1bdaf3d1394,2023-01-19T19:28:43.0000000Z,,Positive,Satisfying Transaction
"Ordine in perfette condizioni e in tempo, c'è stato solo un piccolo problema con il corriere che chiamando Business caffè ha subito risolto",https://www.trustpilot.com/reviews/6456c1e0746ca7dfea17e4c4,2023-05-06T23:08:48.0000000Z,,Positive,Fast Shipping
Ordino capsule  presso questo venditore da tempo e sono sempre buone. Molto precisi e veloci Consiglio vivamente,https://www.trustpilot.com/reviews/64fd741ddfe616edc84f32a9,2023-09-10T09:45:33.0000000Z,,Positive,Good Quality
"Niente da dire, spedizione veloce, caffè fresco. Avrei voluto avere qualche capsula omaggio di altre aziende da assaggiare, ma niente. Del resto tutto positivo",https://www.trustpilot.com/reviews/6454d7cc746ca7dfea16ed56,2023-05-05T12:17:48.0000000Z,,Positive,Fast Shipping
Compro spesso presso questo negozio online e con risultati molto soddisfacenti . Perfetti in tutto ma soprattutto veloci. Top 🔝,https://www.trustpilot.com/reviews/647dc60c706f837cb1f834c9,2023-06-05T13:25:00.0000000Z,,Positive,Satisfying Transaction
Ottimo catalogo. Facile acquistare sul sito. Prezzo ottimi. Consegna veloce di un pacco ben preparato. Tutto perfetto. Bravi,https://www.trustpilot.com/reviews/64293a91746ca7dfea014e6d,2023-04-02T10:19:29.0000000Z,,Positive,Satisfying Transaction
Io compro il caffè solo da business caffè poiché mi sono sempre trovato bene sia nel prezzo che nelle spedizioni. Consiglio anche ad altri di acquistare nel loro store.,https://www.trustpilot.com/reviews/64f445e88f422edc975d84c8,2023-09-03T10:38:00.0000000Z,,Positive,N/A
"Vasta scelta di capsule compatibili, prezzi concorrenziali, nessun onere per il pagamento in contrassegno. Consiglio!",https://www.trustpilot.com/reviews/64f5989e38781dfe6f4d8545,2023-09-04T10:43:10.0000000Z,,Positive,Wide Product Range
"Servizio di spedizione veloce pochissimo tempo è passato tra la mia trasmissione dell’ordine e l’invio, prezzi ottimi.",https://www.trustpilot.com/reviews/64267d48734f97e68f949b60,2023-03-31T08:27:21.0000000Z,,Positive,Fast Shipping
Una ricca selezione con frequenti aggiornamenti Varietà di prezzi e qualitàPuntuali nella consegnaLo consiglio vivamente,https://www.trustpilot.com/reviews/64071f6810f903d5aa1df60f,2023-03-07T13:26:32.0000000Z,,Positive,Satisfactory Purchase
"caffè espresso napoletano di ottima qualità.Di caffè ne ho bevuti davvero tanti ma quello che ho bevuto mi ha cambiato la giornata, mi aspettavo che il prodotto costasse molto di più ma mi sbagliavo.Caffè espresso consigliato per ogni tipo di pausa!",https://www.trustpilot.com/reviews/6365735d252cba2c02cf5a4d,2022-11-04T22:17:33.0000000Z,,Positive,Good Quality
Sono molto soddisfatta sia x la consegna che è avvenuta in poco tempo sia x la miscela che è ottima  Grazie della vostra serietà.,https://www.trustpilot.com/reviews/644f6b8d734f97e68fa87b6c,2023-05-01T09:34:37.0000000Z,,Positive,Satisfying Transaction
ditta corretta e professionale sotto tutti i punti di vista.acquistate con serenità.,https://www.trustpilot.com/reviews/6543486bdac76f634319624a,2023-11-02T08:57:47.0000000Z,,Positive,Satisfying Transaction
Miglior prezzo sul mercato online.Spedizione e consegna abbondantemente nei tempi previsti.Spero di poter ripetere ordine.,https://www.trustpilot.com/reviews/633fef5eb67840c2ab2aa2dd,2022-10-07T11:20:30.0000000Z,,Positive,Fast Shipping
Eccellente servizio. Prodotti sempre disponibili a prezzi concorrenziali e consegnati in tempi rapidissimi. Lo ritengo un supplier molto valido,https://www.trustpilot.com/reviews/64243a82b23781c84238581d,2023-03-29T15:17:54.0000000Z,,Positive,Fast Shipping
Volevo provare il caffè decaffeinato in grani e il Borbone era quello che mi interessava. Prodotto notevole. Sicuramente riproverò l'esperienza,https://www.trustpilot.com/reviews/6392da1c5873c1cf9fcfff3b,2022-12-09T08:47:56.0000000Z,,Positive,Satisfying Transaction
Esperienza ottima spedizione veloce e puntuale. Tutto è andato bene e i prezzi sono ottimi. Servizio ottimo,https://www.trustpilot.com/reviews/64a30bd4706f837cb10b7c9d,2023-07-03T19:56:36.0000000Z,,Positive,Excellent Experience
Sono molto contenta perche ho avuto una esperienza molto positiva. Vi ringrazio per il vostro buon servizio. Grazie tanto,https://www.trustpilot.com/reviews/6567a6ecffa336623ed33abe,2023-11-29T23:02:36.0000000Z,,Positive,Great Service
Tutto ok…imballo perfetto spedizione veloce…prodotto cialde Kimbo top!,https://www.trustpilot.com/reviews/653fb92885d9325d05e0a186,2023-10-30T16:09:44.0000000Z,,Positive,N/A
Tutto come previstoTempi di consegna molto brevi Prodotto di qualità ottima.Facilità di prenotazione Prezzi tra i più bassi.,https://www.trustpilot.com/reviews/64a517cd556f5f998d1d1f37,2023-07-05T09:12:13.0000000Z,,Positive,N/A
Veloci nella spedizione onesti e ottima qualità e prezzo. Lì consiglio veramente.,https://www.trustpilot.com/reviews/650067d4efdf109d4cf3344c,2023-09-12T15:29:56.0000000Z,,Positive,N/A
"Servizio rapido e tuttoi è andato come promesso. Lo consiglio.Mi propongo di acquistare il Caffè della Reggia. Ho avuto qualche capsula in omaggio e l'ho trovato buono, molto buono.",https://www.trustpilot.com/reviews/64510782746ca7dfea14c320,2023-05-02T14:52:18.0000000Z,,Positive,Satisfactory Purchase
Servizio spedizione velocissimo e tanta varietà di capsule a prezzi vantaggiosi. Lo Consiglio senza dubbio,https://www.trustpilot.com/reviews/62e7e23f8000af4a885134c7,2022-08-01T16:25:03.0000000Z,,Positive,N/A
Ottimo caffè e spedizione velocissima. Appena sto x finirlo farò un nuovo ordine,https://www.trustpilot.com/reviews/647b638b706f837cb1f74a51,2023-06-03T18:00:11.0000000Z,,Positive,Fast Shipping
"Sempre precisi e veloce e molti disponibili.in 24 ore la merce ti arriva a casa , continuerò ad acquistare sul vostro sito",https://www.trustpilot.com/reviews/63bc64f94d0773066a32c63b,2023-01-09T21:03:21.0000000Z,,Positive,Fast Shipping
La mia esperienza è molto positiva il venditore è affidabile velocità di spedizione e tutto soddisfacente,https://www.trustpilot.com/reviews/65493b9417072e601f6ecc01,2023-11-06T21:16:36.0000000Z,,Positive,Excellent Experience
Perfetta comunicazione. Pacco spedito il giorno dopo il mio ordine e arrivato in tempo per Natale!,https://www.trustpilot.com/reviews/63b3d3734d0773066a2c2072,2023-01-03T09:04:19.0000000Z,,Positive,Fast Shipping
Esperienza più che positiva e soprattutto tempi di consegna davvero brevi.Consigliato,https://www.trustpilot.com/reviews/64a0040cc423446286822d1d,2023-07-01T12:46:36.0000000Z,,Positive,Fast Shipping
Ho acquistato cialde Borbone Respresso: ottimo prezzo e consegna veloce.Grazie!!!,https://www.trustpilot.com/reviews/64a2d762c42344628683865f,2023-07-03T16:12:50.0000000Z,,Positive,Satisfactory Purchase
Primo ordine effettuato 400 cialdeGrande scelta con ottimi prezzi.Spedizione super rapida.Consigliatissimo,https://www.trustpilot.com/reviews/6425d741752fa494ddb7aba7,2023-03-30T20:38:57.0000000Z,,Positive,Fast Shipping
Non è la prima esperienza sono ormai cliente sono veloci nella consegna e una ditta molto seria mi trovo bene,https://www.trustpilot.com/reviews/63debb8f9b64b1bdaf4d2e2b,2023-02-04T22:09:51.0000000Z,,Positive,Excellent Experience
"Sito davvero ottimo: imballaggio molto buono,ottimi prezzi e consegna rapida. Lo raccomando!",https://www.trustpilot.com/reviews/62e92f9d4c35e69ec5211d0a,2022-08-02T16:07:25.0000000Z,,Positive,Fast Shipping
Prendo solitamente il caffè in cialde decaffeinato e molto buono puntualità nella consegna,https://www.trustpilot.com/reviews/64a271f9c423446286833350,2023-07-03T09:00:09.0000000Z,,Positive,Satisfactory Purchase
"Ricevuto quanto ordinato, 4 confezioni di caffè in cialde, perfettamente come stabilito alla data dell'ordine. Serietà e correttezza dell'azienda. Consigliato",https://www.trustpilot.com/reviews/64b69f4e835afeb29e40a8df,2023-07-18T16:18:54.0000000Z,,Positive,Satisfying Transaction
Ottimo prodotto anche in rapporto al prezzo. Spedizione molto veloce. Consigliato.,https://www.trustpilot.com/reviews/63de3b8b745e4800219a84ed,2023-02-04T13:03:39.0000000Z,,Positive,Fast Shipping
"servizio veloce e preciso, prezzi bassi quindi consigliatissimo, credo che diventerà il mio fornitore abituale.",https://www.trustpilot.com/reviews/63874679252cba2c02e88437,2022-11-30T14:03:05.0000000Z,,Positive,Satisfying Transaction
"azienda puntuale, e prezzi concorrenziali. la sto consigliando agli amici.",https://www.trustpilot.com/reviews/6479d04e706f837cb1f67f44,2023-06-02T13:19:42.0000000Z,,Positive,Satisfying Transaction
Prezzi ottimi e tempi di spedizione molto veloci. Sicuramente consigliato.,https://www.trustpilot.com/reviews/64a88f20ad9f9a7a62bcad57,2023-07-08T00:18:08.0000000Z,,Positive,Fast Shipping
Sono soddisfatto del mio acquisto sia per il prezzo che per la velocità della consegna,https://www.trustpilot.com/reviews/643d539dea336d9367806c76,2023-04-17T16:11:41.0000000Z,,Positive,Satisfactory Purchase
"Non è la prima volta che acquisto da questo fornitore, che dire. Il caffè è buono, lo era  anche prima acquistato  da altri essendo lo stesso. Il prezzo è buono e il servizio ottimo!!1",https://www.trustpilot.com/reviews/644e1c8d734f97e68fa7fa94,2023-04-30T09:45:17.0000000Z,,Positive,Good Quality
"Azienda specializzata nel settore, prezzi molto competitivi e consegne veloci ma soprattutto comodità nel pagamento alla consegna.",https://www.trustpilot.com/reviews/633c743f4a5fff53cad671dc,2022-10-04T19:58:23.0000000Z,,N/A,N/A
Ottimi prezzi. Non ho avuto problemi nè nell'acquisto nè nella consegna,https://www.trustpilot.com/reviews/64cb80819f1fdac4b47a4505,2023-08-03T12:25:05.0000000Z,,Positive,Satisfactory Purchase
"Veloci, precisi ed economici. Tutto ok anche con il bonifico al posto di paypal",https://www.trustpilot.com/reviews/6454fc18746ca7dfea170a26,2023-05-05T14:52:41.0000000Z,,Positive,Convenient Payment
Spedizione velocissima e perfettamente in coerente con la descrizione del prodotto!!!,https://www.trustpilot.com/reviews/633b0f093d107cfdfcd1cab8,2022-10-03T18:34:17.0000000Z,,Positive,Fast Shipping
Spedizione velocePrezzo buonoPeccato che il caffè in capsule è a vista e la confezione si rovina,https://www.trustpilot.com/reviews/6316605e7f7a8621ee5380a5,2022-09-05T22:47:26.0000000Z,,Negative,None
Vecchia cliente mai delusa. Sia per qualità caffè  sia per tempistica e servizio consegna,https://www.trustpilot.com/reviews/642c5c36734f97e68f97a6dd,2023-04-04T19:19:50.0000000Z,,Positive,Satisfying Transaction
"ho trovato convenienza,qualità, trasparenza e consegna    velocissima, saluti e al prossimo ordine",https://www.trustpilot.com/reviews/633f2a47350baeeabe62f00d,2022-10-06T21:19:35.0000000Z,,Positive,N/A
"Azienda seria,spedizioni veloci e puntuali,professionalità,rapporto qualità prezzo molto buono",https://www.trustpilot.com/reviews/63bb08372338b6d417b3a8d5,2023-01-08T20:15:19.0000000Z,,Positive,Fast Shipping
"Ultime esperienze non perfettamente buone ,i pacchi arrivano schiacciati per un debole imballaggio fatto di nylon,poi non gradisco le etichette di pubblicità sulle stesse di business caffè ,inoltre mandavano dei regali graditi e non lo hanno più fatto ,quali capsule di prova tazzine e piattini ,le capsule molte volte segnalato sono in numero inferiore ed alcune s aprono male .La qualità del caffè è buona",https://www.trustpilot.com/reviews/62e791518000af4a8850d14a,2022-08-01T10:39:45.0000000Z,,Negative,Satisfactory Purchase
Imballaggio perfetto.Spedizione puntualissima.Caffè ottimo e prezzo super,https://www.trustpilot.com/reviews/6341d95f350baeeabe64a7a4,2022-10-08T22:11:12.0000000Z,,Positive,Quality Packaging
"Come sempre recensito, ottimo rapporto qualità prezzo. Spedizione veloce!",https://www.trustpilot.com/reviews/63676e83252cba2c02d050f4,2022-11-06T10:21:23.0000000Z,,Positive,Fast Shipping
Acquistato caffè in grani ottimo prodotto puntualissimi nella consegna .,https://www.trustpilot.com/reviews/633bf7e94a5fff53cad5dded,2022-10-04T11:07:54.0000000Z,,Positive,Good Quality
Venditore serio e prezzi davvero ineguagliabili. Spedizione veloce e imballaggio accurato. Davvero consigliato.,https://www.trustpilot.com/reviews/63bc1f332338b6d417b459b1,2023-01-09T16:05:39.0000000Z,,Positive,Fast Shipping
"Servizio ottimo, puntuale e molto rapido.Ottimo il caffè della ditta Passalacqua.A me piace la qualità dell'Habanera, ma ognuno può scegliere tra tanti caffè napoletani quello che preferisce.",https://www.trustpilot.com/reviews/62ea83838000af4a885373ce,2022-08-03T16:17:39.0000000Z,,Positive,Good Quality
Velocissimi. Precisi. Prezzo concorrenziale. Prodotti ottimi. Lo consiglio vivamente.,https://www.trustpilot.com/reviews/64516cfe734f97e68fa9c271,2023-05-02T22:05:18.0000000Z,,Positive,N/A
"Servizio eccellente,  prezzi davvero concorrenziali. Ottima la consegna.",https://www.trustpilot.com/reviews/62eb94838000af4a885447e8,2022-08-04T11:42:27.0000000Z,,Positive,Great Service
Ottimo rapporto qualità-prezzo. Servizi di pagamento e spedizione eccellenti.,https://www.trustpilot.com/reviews/642aade4734f97e68f9694dc,2023-04-03T12:43:48.0000000Z,,Positive,Competitive Prices
"La flessibilità pagamento,  celerità nella consegna, prodotto eccellente",https://www.trustpilot.com/reviews/63b906d54d0773066a30731c,2023-01-07T07:44:54.0000000Z,,Positive,Convenient Payment
"Convenienti, rapidissimi nelle spedizioni e gentilissimi! Consigliati!",https://www.trustpilot.com/reviews/640066379b64b1bdaf666d00,2023-03-02T11:02:47.0000000Z,,Positive,Fast Shipping
"Ottimo fornitore, tempestività di spedizione, sicuramente faremo nuovi affari",https://www.trustpilot.com/reviews/62cd5c108000af4a883daa35,2022-07-12T13:33:36.0000000Z,,Positive,Fast Shipping
"Sono al terzo acquisto e confermo la recensione positiva già data in precedenza, consegna puntuale e il prodotto è ottimo Donatella",https://www.trustpilot.com/reviews/62c2c0a3853b02c06c96ad86,2022-07-04T12:27:47.0000000Z,,Positive,Satisfactory Purchase
"Sono veramente soddisfatto della serietà e affidabilità dell'azienda, grazie per la velocità della spedizione. Rapporto qualità-prezzo ineguagliabile.",https://www.trustpilot.com/reviews/62c0276aba5bb6ef042983fc,2022-07-02T13:09:30.0000000Z,,Positive,Satisfying Transaction
Ho ricevuto il pacco come da mio ordine. Grazie sono soddisfatta della Vs serietà e puntualità.,https://www.trustpilot.com/reviews/62a1de236d54f9210710cc4b,2022-06-09T13:48:51.0000000Z,,Positive,Satisfying Transaction
"tutto bene,spedizione veloce,prodotto da me ordinato caffe Borbone nero ottimo,il dek non so dato che non era per me. Comprero  sicuramente ancora da questo venditore.",https://www.trustpilot.com/reviews/629dfc2635343b8f5b628470,2022-06-06T15:07:50.0000000Z,,Positive,Satisfactory Purchase
mi sono trovato benissimo prezzo e spedizione tutto ottimo inclusa la qualità complimenti Mauro Santi,https://www.trustpilot.com/reviews/629db5bf35343b8f5b623927,2022-06-06T10:07:27.0000000Z,,Positive,Satisfying Transaction
"Prezzi competitivi per prodotti di qualità. Seri e affidabili, nonostante un problema con la spedizione dovuto ad un banale errore di etichette in pochissimo tempo hanno risolto il problema brillantemente. Consigliato.",https://www.trustpilot.com/reviews/629c6b0335343b8f5b6193d1,2022-06-05T10:36:19.0000000Z,,Positive,Satisfying Transaction
Primo ordine 300 capsule e ok il prezzo è quello è va bene facendo un secondo ordine uno si aspetta un.po di sconto anche perché se tratti bene il cliente torna ora per dire dovrei fare un altro ordine e sono in deciso se cambiare perché stesso caffe altri lo vendono a meno di poco ma meno ora a me chi mi porta a comprare ancora da voi visto che il trattamento e uguale. Grazie,https://www.trustpilot.com/reviews/6296829435343b8f5b5da88f,2022-05-31T23:03:16.0000000Z,,Negative,Satisfactory Purchase
Prezzi buoni e migliori di altri siti dove acquistavo il caffè Borbone.,https://www.trustpilot.com/reviews/6295f17235343b8f5b5cf000,2022-05-31T12:44:02.0000000Z,,Positive,Competitive Prices
"Semplicemente perfetto!!!!Ho acquistato 700 capsule borbone con pagamento alla consegna ordinato venerdì, martedì mi è stato consegnato.Lo consiglio vivamente",https://www.trustpilot.com/reviews/628e42f24b16276ac9902d0f,2022-05-25T16:53:38.0000000Z,,Positive,Satisfying Transaction
Servizio clienti molto attento alle mie richieste e prodotto ricevuto imballato prima in scatole da 6 confezioni e poi ulteriormente protetto da cellophane. Pienamente soddisfatta. Mi rivolgerò ancora a loro per ordini futuri.,https://www.trustpilot.com/reviews/62711b01166eb7ecbf3b85d9,2022-05-03T12:07:29.0000000Z,,Positive,Satisfying Transaction
"Ottimo venditore, oltre la convenienza velocità ed efficienza del servizio. Bravi e complimenti. Riacquisterò da loro sicuramente.",https://www.trustpilot.com/reviews/626fd696166eb7ecbf3a8bb1,2022-05-02T13:03:18.0000000Z,,Positive,Great Service
Il vostro caffè lo trovo di ottimo gusto e aroma :continuerò ad acquistarlo.,https://www.trustpilot.com/reviews/6252f2182b3c3c43cfce8b9b,2022-04-10T15:04:56.0000000Z,,Positive,Satisfying Transaction
"Caffè eccellente il Kimbo, ottima qualità anche il fornitore, serio, preciso e puntuale. Lo consiglio.",https://www.trustpilot.com/reviews/624c6f53c7628b203ba36c61,2022-04-05T16:33:23.0000000Z,,Positive,Excellent Experience
"Negozio eccellente!!! Ottimi prezzi, vasta scelta e spedizioni rapide.",https://www.trustpilot.com/reviews/6245eb122b3c3c43cfc4decb,2022-03-31T17:55:30.0000000Z,,Positive,Fast Shipping
"esperienza positivissima, prezzi convenienti e spedizione veloce. Grazie",https://www.trustpilot.com/reviews/6245b966c7628b203b9e6b68,2022-03-31T14:23:34.0000000Z,,Positive,Satisfying Transaction
"Sono soddisfatta, l’ordine è arrivato velocemente.Sicuramente ordinerò di nuovo.",https://www.trustpilot.com/reviews/62434639f144199fc9cdcfe1,2022-03-29T17:47:37.0000000Z,,Positive,Satisfying Transaction
"Veloci nella spedizione e disponibili, il caffè è ottimo, non solo la miscela blu, ma anche il dek.",https://www.trustpilot.com/reviews/621f5dd9445f5107dca5eefe,2022-03-02T12:06:49.0000000Z,,Positive,N/A
"Continua ad essere il mio rivenditore preferito,  sia per la qualità  che per il prezzo.",https://www.trustpilot.com/reviews/62000a7bbc5a51af69b9e76e,2022-02-06T17:50:51.0000000Z,,Positive,Good Quality
Tutto perfetto! Puntualità e velocità.In più una piccola chicca molto gradita: alcune capsule di caffè in omaggio! Bravi!,https://www.trustpilot.com/reviews/61fd6c93bc5a51af69b83eb0,2022-02-04T18:12:35.0000000Z,,Positive,Satisfying Transaction
"È già un po' di tempo che prendo il caffè..top come sempre, spedizione veloce e pacco al top",https://www.trustpilot.com/reviews/61fc104abc5a51af69b70a71,2022-02-03T17:26:34.0000000Z,,Positive,Fast Shipping
"Mi trovo bene con Businesscaffe, ottimi caffè ad un prezzo vantaggioso e spedizione superveloce.",https://www.trustpilot.com/reviews/61fbc220a16c1e751f7d3aa4,2022-02-03T11:53:04.0000000Z,,Positive,Fast Shipping
"Convenienza del prodotto, rapidità e precisione esemplare nella consegna. Bravissimi, avanti così !",https://www.trustpilot.com/reviews/61f28846a16c1e751f761e09,2022-01-27T11:55:50.0000000Z,,Positive,Great Service
Pacco consegnato in meno di 24 h. Servizio eccellente. Probabilmente la prossima volta arrivate già con la tazzina e il caffè già pronto. Complimenti,https://www.trustpilot.com/reviews/61f12e5ae1196e51d76f92d4,2022-01-26T11:19:54.0000000Z,,Positive,Fast Shipping
Ottimo venditore puntuale nella consegna ma poco attento. Nell'ordine era compreso il regalo di una tazzina da caffè con relativo piattino (a me non serviva) mai arrivato.,https://www.trustpilot.com/reviews/61ed376ba16c1e751f71d9ec,2022-01-23T11:09:31.0000000Z,,Negative,None
