Content,Url,Date,,Consumer Sentiment Classifier,Automatic Classifier
"Absolutely thrilled with my custom, three stone diamond ring! This is a top-notch jewelry team that goes above and beyond. From the friendly designer who artistically turned my wishes into a beautiful ring Design, through the process with a wonderful website interface, to the incredibly talented detail work, this was a most pleasant and happy process. I can’t imagine a more perfect ring, and will cherish this gorgeous work of art! So grateful that I found Green Lake Jewelry Works! Many, many thanks!",https://www.trustpilot.com/reviews/622521a8361b35c36d5f1e5a,2022-03-06T21:04:16.0000000Z,,Positive,Positive Experience Overall
"The ring turned out as promised although there were constant delays that went un-communicated until I called and asked. It seemed like they didn’t prioritize my ring and I felt like I had to constantly babysit the staff to make sure I got my ring at the promised date, which kept changing without my knowledge. I would only recommend using green lake jewelry if you had to had to (ie gift card or under contract), I would imagine there is a better customer service staff that wouldn’t require such an intense amount of attention from its client to do the job that was promised.",https://www.trustpilot.com/reviews/631891316a3e1ed2c3cc4cb0,2022-09-07T14:40:17.0000000Z,,Negative,Negative Experience Overall
"Britt Gantner designed an incredible ring for us!  She walked through every step of the process and helped us decide what we really wanted most.  She was kind, creative, thoughtful and listened carefully to our wants and needs - designing a ring that is both stunning and practical to wear.  We are so happy with our decision to go with Green Lake Jewelry!",https://www.trustpilot.com/reviews/63751348252cba2c02daac90,2022-11-16T18:43:52.0000000Z,,Positive,Positive Experience Overall
Vinh did a great job of explaining the the whole stone/ring buying process and helping me pick a stone by explaining the pros and cons of each option. He explained what was possible and what his recommendations for both the stone picking and designing the ring. The end result looks beautiful and I'm very grateful for his hard work and help!,https://www.trustpilot.com/reviews/62c708100c20b4453c32de16,2022-07-07T18:21:36.0000000Z,,Positive,Positive Experience Overall
"Very high-quality workmanship, and excellent customer service (kept me informed every step of the process).They are also extremely trustworthy - they handled over 2 ounces of 18k gold, and returned every gram of what was unused. I can recommend GLJW without hesitation to anyone needing custom jewelry work done.The only drawback is they are VERY busy, so plan ahead on your project.",https://www.trustpilot.com/reviews/628504d6045d025d3a97785a,2022-05-18T16:38:14.0000000Z,,Positive,High Quality Craftsmanship
"My overall experience with this company was amazing. From day one, our artist was so friendly and helpful, and together we designed a beautiful and unique ring for my wife. Throughout the process they maintained great contact and we willing to make adjustments to fit our budget. We were so happy with the final product and my wife loves her ring!",https://www.trustpilot.com/reviews/6435864e746ca7dfea074700,2023-04-11T18:09:50.0000000Z,,Positive,Positive Experience Overall
"My husband and I decided to upgrade my solitaire engagement ring to a 3 stone for our 25th wedding anniversary.  I worked with Rebecca P to customize the ring.  Although the design was fairly simple, I was quite particular about a few design details and about the diamonds added. Rebecca was extremely flexible in her design and helpful in guiding the search for 2 diamonds to complement my existing one. (She was also extraordinarily patient considering how picky I was!)  The result is an absolutely *stunning* ring that I can't stop staring at. I can't imagine a better experience or outcome.  Thank you, Rebecca and the Green Lake Jewelry team!",https://www.trustpilot.com/reviews/641b678e1f08d0d0848dcd05,2023-03-22T22:39:42.0000000Z,,Positive,Custom Design Process
Excellent experience at Green Lake Jewelry with Ben Merchant! What a pleasure working with him! He allowed the custom design to surface through non-invasive and thoughtful dialogue. Never rushed me as we went through iterations. Very pleased with the entire process and with the final product. Would absolutely recommend Green Lake and Ben to friends and would be their long term customer for sure!,https://www.trustpilot.com/reviews/62607efa7b2618e9fea157b4,2022-04-20T23:45:30.1680000Z,,Positive,Positive Experience Overall
"Sophia made the process of designing a bracelet for my wife's 40th birthday enjoyable, efficient, and easy. My wife loves the finished product, and I was impressed how Sophia was able to incorporate my ideas into the design and production. Great experience -- will work with you all at Green Lake Jewelry again.",https://www.trustpilot.com/reviews/648d252c706f837cb1006455,2023-06-17T05:14:52.0000000Z,,Positive,Positive Experience Overall
"In short, Greenlake Jewerly exceeded my expectations by a long shot. Unlike a number of other places I visited when shopping for an engagement ring, there was never a sales pitch or any pressure. Working with Vin always felt conversational. They took the time and care to ask what I was looking for and listen to what I had to say. In the end, I was able to tailor the look and feel of the ring to exactly what I knew my partner wanted. I don’t usually write reviews, but I can’t say enough good things about my experience at Greenlake. Needless to say I’ll be back for our wedding bands!",https://www.trustpilot.com/reviews/62a2254f6d54f92107112835,2022-06-09T18:52:31.0000000Z,,Positive,Excellent Customer Service
"Britt was wonderful! She communicated very well and was always available to speak. She was involved passionately in the design of the ring and never cut any corners. I trusted her throughout the process and was not surprised at any stage. She even wrote a sweet hand-written note for us upon delivery of the ring. Superb customer service. I'm sure you know this, but Britt is an asset to your company.",https://www.trustpilot.com/reviews/63c889854d0773066a3c6f3f,2023-01-19T02:06:29.0000000Z,,Positive,Excellent Customer Service
My namy is Kade. My daughter loves your jewelry. I'm out of work and I would love it if I could get her something. We are big fans of the product you have. My daughter showed me what she liked and it was pretty much everything in the page. Help me out this time and I promise I will buy more when I'm back on my feet,https://www.trustpilot.com/reviews/659784865c7203808f549e37,2024-01-05T06:24:38.0000000Z,,Positive,None
"My boyfriend made it up to me by giving me a custom designed engagement ring here. It's amazing, we're happily together now, Green Lake Jewelry has become my go-to store every time I want to buy jewelry. The gem quality here is real, very good, along with the innovative designs and excellent customer service.",https://www.trustpilot.com/reviews/641f24479cd7fb9498e31079,2023-03-25T18:41:43.0000000Z,,Positive,N/A
Worked with Sophie at Green Lake Jewelers on a custom engagement ring on a rushed timeline. The communication was great the whole time and Sophie expertly handled expectations. The team worked with me on very specific parameters and were able to meet the timeline as well. I was very pleased and impressed by their work and professionalism. And my partner loves the ring. All around great job and would go back to GLJ again and again.,https://www.trustpilot.com/reviews/634ddadd377e522e3151cd01,2022-10-18T00:44:45.0000000Z,,Positive,Excellent Customer Service
I had recently lost my fiancé and I wanted to have a memorial ring designed to wear and keep him close.  With my initial idea and Ellen Lovde's design expertise we were able to create a ring that is absolutely perfect. I would like to thank everyone that was involved in the process and a special thanks to Ellen Lovde and her very poignant thank you card.  It touched my heart deeply.,https://www.trustpilot.com/reviews/642a3e52746ca7dfea01c114,2023-04-03T04:47:46.0000000Z,,Positive,Custom Design Process
We wanted our ring to be as creative and colorful as possible and only had a rough idea of what a ring like that might look like. We knew we definitely wanted it to be dragon themed. Sophia worked very closely with us and with her creativity and ideas created the most amazing dragon we could have ever asked for. This ring will be cherished for a lifetime.,https://www.trustpilot.com/reviews/64b2bc18706f837cb110a199,2023-07-15T17:32:40.0000000Z,,Positive,Unique and Beautiful Rings
"Ellen did a phenomenal job bringing my husband’s and my vision to life for our wedding ring!  I had a very specific idea of what I wanted - not quite a jacket and not quite a guard - an add-on to my engagement ring that would just accentuate the existing diamond without looking too “halo.”  She nailed it!  She drew up a few different options based on all of our preferences and budget, and I could not be happier!  As an added bonus, she was just such a delight to work with.  She never made us feel like we were asking too much or wasting her time.  And, my husband loved the experience so much that he even went back to create unique earrings for our 1-year anniversary!!",https://www.trustpilot.com/reviews/623c8934843a1a3bf6c5554b,2022-03-24T15:07:32.0000000Z,,Positive,Custom Design Process
"Went in to the Seattle studio to get a ring resized and a bracelet clasp fixed and they were awesome! Joseph welded a broken link on the bracelet so it wouldn't break again and then buffed it out on the spot. I've never seen that thing look so shiny! I got my ring back within 2 weeks, just as expected, and it fits perfectly. He was even able to keep the engraving intact! This was my first time going to a jewlers so I had no idea what to expect, but I had an excellent experience here. Highly recommend!!",https://www.trustpilot.com/reviews/6349f573377e522e314f7e60,2022-10-15T07:42:21.0000000Z,,Positive,Excellent Customer Service
"We worked with Lena to create a diamond ring for my wife to celebrate our 40th anniversary. We incorporated the original 0.3 carat diamond and added a 0.8 carat diamond adjacent to it. Lena created the design in accordance with our desires and guidance. We are very happy with the ring, and it was delivered on schedule. I highly recommend Green Lake Jewelry Works.",https://www.trustpilot.com/reviews/632cc083c17abd5d3c371442,2022-09-22T22:07:31.0000000Z,,Positive,Custom Design Process
"Greenlake Jewelry is committed to their craft. I wanted to custom ring to represent our adventures in the PNW. The design process was initially great. The designer seemed inspired by my story and what the ring meant and did a good job visualizing what I was hoping for in a sketch. But, the designer had a vacation planned and handed the project off to a colleague to see it through. I struggled to get the second designer on the same page, and just wasn't inspired by the CAD or wax designs. Though I wasn't really liking what I was seeing, I was assured the final result would be what I wanted. I grew very frustrated and asked to just cancel the project. Greenlake did everything they could to not only keep my business but ensure I walked away happy. One of the founders took control of the project and made some creative changes to the design that resulted in a very unique and beautiful ring that captured exactly what I was after. My partner cannot stop looking at it. She loves it.  I can't fault a company for supporting time off for its employees, and I can totally understand that my second designer felt swamped and could not give the kind of attention to the design that he normally would. All of this is understandable. Mistakes are inevitable. But given Greenlake's ownership of these mistakes then efforts to go beyond my expectations, I can confidently say this is a trustworthy jeweler which does quality work.",https://www.trustpilot.com/reviews/6565484844aff5f6ab7fd5d8,2023-11-28T03:54:16.0000000Z,,Positive,Positive Experience Overall
"We worked with Sophia to design both our engagement rings and our wedding bands. So, this is the 2nd time we have worked with Sophia and Green Lake! Just like our first experience, she and the Green Lake team knocked it out of the park! Our rings are immaculately crafted, fit perfectly, truly reflect our design ideas and styles, and the stones are gorgeous. We couldn't recommend a better team!",https://www.trustpilot.com/reviews/6431d5f4734f97e68f9a589a,2023-04-08T23:00:36.0000000Z,,Positive,Custom Design Process
"I recently purchased the Earing and rings from Green Lake Jewelry and was impressed with the quality of the piece. The sleek design and attention to detail made for a stunning piece that complemented my outfit perfectly. The tassel detail added a fun and playful touch to my look. Overall, I highly recommend these earrings to anyone looking for a stylish and well-made accessory.",https://www.trustpilot.com/reviews/64172a3497853ebaa0737bab,2023-03-19T17:28:53.0000000Z,,Positive,Beautiful and Unique Ring Design
"Green Lake Jewelry has made two of my custom memorial ring. Each interaction has been beyond wonderful -- whether it be with the designer, the jeweler or even the staff at the Northgate shop. Everyone is attentive to my needs and my vision and despite working on a budget, they are always open to customizing it to fit my dream of these memorial rings. Although I hope to never need another memorial ring, I will definitely be recommending GLJW to everyone I know that is looking to make a beautiful custom piece. Thank you so much GLJW!",https://www.trustpilot.com/reviews/6491d557c4234462867aeed7,2023-06-20T18:35:36.0000000Z,,Positive,Unique and Beautiful Rings
"I inherited my great grandmother’s diamond ring and I am so grateful to Sophie M. From Green Lakes Jewelry Works for helping me to transform it into something more modern that I can wear every day. Sophie was so patient with my indecisiveness when choosing the perfect Montana sapphire to compliment my grandmother’s diamonds. She is a good listener and kept my budget in consideration while searching the GLJW vast inventory for the right sapphire.  This ring was created from a distance and Sophie answered all of my questions promptly through my design page. She sent me multiple views of each stone in a different light and that helped so much in making the final decision. Ultimately, Sophie and the whole design team at GLJW made my dream come true. I received my ring yesterday and I adore it. Thank you, Sophie.",https://www.trustpilot.com/reviews/632db4a3c17abd5d3c37a68d,2022-09-23T15:29:07.0000000Z,,Positive,Positive Experience with Designer
Brooke was extremely welcoming and helpful. She made the experience less overwhelming and was really funny. She made my nerves ease and the process there after was exceptional. Brooke provided step by step process with the designer Chelsea. Communication was beyond my expectations and I got to see progress on each step of the design. Looking forward to future collaborations,https://www.trustpilot.com/reviews/63d40f494b01fb3f548f0507,2023-01-27T19:52:09.0000000Z,,Positive,Positive Experience Overall
"What caught my attention was their excellent customer service. The staff was knowledgeable, friendly, and patient. They took the time to understand my preferences and helped me pick out the perfect piece of jewelry that suited my style and budget.The store's ambiance was luxurious and elegant, which added to the overall shopping experience. I also appreciated the attention to detail in the presentation of the jewelry. Each piece was carefully displayed, and the lighting was just right to showcase its beauty.",https://www.trustpilot.com/reviews/644e3fdfc32a812417dbd90d,2023-04-30T12:15:59.0000000Z,,Positive,Excellent Customer Service
"This is a real review! To date I have spent over 20k with Green Lake with not a single penny of regret. I know and have worked with jewelers all over the world. I have been designing my own jewelry and collecting rare stones for years. I know more than the average customer. I use Green Lake for their integrity, knowledge,reasonable pricing, and incredible range of talented artisans. Much of today's jewelry has been outsourced to China and lacks the quality and soul of what it is meant to represent. Honest businesses in jewelry are rare and fading and Green Lake is a beacon that keeps dying art alive. Sophia is an absolute pleasure to design with. I wear their art proudly on my finger and will keep coming back as long as they will patiently smile through my perfectionist quest for perfect custom jewelry pieces (at very reasonable prices).",https://www.trustpilot.com/reviews/63625366252cba2c02ccb5a8,2022-11-02T13:24:22.0000000Z,,Positive,High Quality Craftsmanship
I am a multiple time repeat customer!Love GLJW.  I've designed several charms for myself or for gifts and have always been thrilled with the outcome.  The designers are amazing and they are great to work with.  They understand budget and are super skilled and accommodating.  I will be back again....and again.....!,https://www.trustpilot.com/reviews/6320a7196a3e1ed2c3d1c6a3,2022-09-13T17:51:53.0000000Z,,Positive,Positive Experience Overall
"Green Lake jewelry was our first stop and we had such a good initial meeting that we agreed there was no need to look anywhere else! Our designer Vinh has such a wealth of knowledge and was so helpful and honest in giving us the information we needed to make decisions we felt happy with. The ring turned out beautifully and we are so happy with it, and happy that we had such a wonderful experience in designing it together. I will be recommending green lake jewelry to anyone looking for an engagement ring or wedding bands.",https://www.trustpilot.com/reviews/623cd97af144199fc9c96ff2,2022-03-24T20:50:02.0000000Z,,Positive,Positive Experience Overall
"Ellen at Green Lake Jewelry was wonderful to work with. After getting engaged, my fiancé and I worked with Ellen to create the engagement ring of my dreams. I started this process thinking that I would be such an easy customer and boy was I wrong! I quickly learned that the custom ring design process would be met with my extreme indecisiveness. Ellen was so patient and really a dream to work with. She happily sent me image after image of design options and responded to countless questions I had. In the end, Ellen ended up custom ordering a piece from another supplier in order to get exactly what I wanted. I couldn't be happier with the final product and I am super thankful that Ellen was so patient and informative throughout such an exciting time in our lives.",https://www.trustpilot.com/reviews/6254b3c32b3c3c43cfcfe695,2022-04-11T23:03:31.0000000Z,,Positive,Positive Experience with Designer
"with the entire process from my initial walk into the store to the day, a few months later, I wore my very special custom jewelry home! Brooke (designer) is an excellent listener and translated my preferences perfectly to the jeweler (Marc) who together created a stunning pair of earrings for me. It's a beautiful store, the people are super friendly and welcoming, the team of craftspeople are working right there at stations you can see, and the whole experience was so enjoyable. Highly recommend!(Note: just be careful to park in the garage on the lower level and only in the spaces marked specifically for retail customers or you will be ticketed quickly by whoever manages that ga",https://www.trustpilot.com/reviews/643f37e08c822ee6318e933a,2023-04-19T02:37:56.0000000Z,,Positive,Positive Experience Overall
Sophia is amazing! She was the designer I worked with who made my husbands wedding ring. She was very responsive. I’m very indecisive and she worked with me until I decided on a design I was happy with. She also met all the timelines right on time. If she said something would be done at a certain date it was.  She’s a very talented jewelry designer and I highly recommend her.,https://www.trustpilot.com/reviews/6251a6422b3c3c43cfcdd86d,2022-04-09T15:29:06.0000000Z,,Positive,Positive Experience with Designer
"We are extremely happy with the Green Lake Jewelry. We got such a personalized and professional service from their exceptionally experienced jewelry designers. Their services are very individualized and geared toward each and every customer's needs and preferences. Our designer, Lena, went above and beyond our expectations to make us happy and satisfied. She cared so much.",https://www.trustpilot.com/reviews/64e6bd2d6b02430421364399,2023-08-24T04:15:09.0000000Z,,Positive,Positive Experience Overall
"Chelsea is a nonpareil professional designer. She is responsive, imaginative, and knowledgeable. She possesses the requisite experience to make your dream design a wonderful experience. I feel very fortunate to have found her. Many thanks to the craftsmen who created a unique, beautiful, timeless treasured wedding set for me to wear and enjoy.",https://www.trustpilot.com/reviews/650077f3e3a213946784eb65,2023-09-12T16:38:43.0000000Z,,Positive,Positive Experience Overall
"Green Lake Jewelry Works (GLJW) is a fantastic company to work with in designing any custom jewelry! My fiance absolutely loved her engagement ring done by them. Their artists are wonderful, responsive, and very helpful throughout the process. It helps that they have an online portal set up that makes it very easy to communicate quickly and frequently with the artist you choose. And that's another thing- you can look through their extensive list of talented artists and each artist's portfolio and then select whomever you want to work with! They are very upfront about things like timeline, price, etc. They can also work with you depending on you own unique budget while still maintaining the high quality of the jewelry, so don't be afraid to reach out to them and ask within your own budget. Your opinions on the jewelry are seriously taken into account and they're very open to feedback and responsive on making quick alterations. HIGHLY recommend going to GLJW for all things custom jewelry!",https://www.trustpilot.com/reviews/621655caba48cd57a2a0be48,2022-02-23T15:42:02.0000000Z,,Positive,Excellent Customer Service
"The designer Chelsea K was absolutely amazing in every way.  The custom ring was perfection.  Her communication was fantastic.  We did have a package lost in delivery and they shipped out a presentation ring to ensure the engagement plans would not be ruined. The package was found and their prompt shipping was great.  My only low point was dealing with Krista the production manager.  She had a lack of compassion when the ring was lost and said ""we should grow up, life is full of disappointments"".  She also went on to tell me that life does not go the way you want and shared that her baby was born prematurely and it is what it is....That was terrible but overall the company, the designer and the custom ring was five stars.  I would use this company again.",https://www.trustpilot.com/reviews/636d0cacb84cc27618e7f12c,2022-11-10T16:37:33.0000000Z,,Negative,Positive Experience Overall
"My husband and I recently worked with Green Lake Jewelry Works to update my engagement band and setting with the existing stone. Our experience from start to finish was absolutely wonderful. Our designer, Ellen, was super attentive to detail and was able to work within our desired parameters and budget resulting in a gorgeous updated ring just in time for our one-year wedding anniversary.We experienced great communication throughout the process - from a zoom consultation meeting, using the online portal to communicate updates, and booking appointments to see the wax mold and picking up the ring. Everyone we interacted with was professional and kind. Top notch work by the design and jeweler team. We will work with Green Lake Jewelry Works again in the future.",https://www.trustpilot.com/reviews/647f41ffc423446286714a65,2023-06-06T16:26:07.0000000Z,,Positive,Excellent Customer Service
"Working with Green Lake Jewelry was by far the best experience I have ever had working with a jeweler - and possibly the best experience I've had with any store. We were intimately involved in the design process of our engagement ring from the beginning. Our designer's communication skills and customer service were above and beyond. Living in Oregon, I was a little nervous that we would feel disconnected from the design process, but Ben did an amazing job posting updates, images, videos, and questions to our shared blog page. We are beyond thrilled with our ring and we highly recommend Green Lake to anyone who is thinking about making custom jewelry at any price level.",https://www.trustpilot.com/reviews/6260a5b70c4813f76bf00d8a,2022-04-21T02:30:47.2280000Z,,Positive,Excellent Customer Service
"Inherited a small amount of jewelry that I knew I would never wear because of style so decided to try and repurpose it.  Could not have been happier with the entire process from my initial walk into the store to the day, a few months later, I wore my very special custom jewelry home!  Brooke (designer) is an excellent listener and translated my preferences perfectly to the jeweler (Marc) who together created a stunning pair of earrings for me.  It's a beautiful store, the people are super friendly and welcoming, the team of craftspeople are working right there at stations you can see, and the whole experience was so enjoyable.  Highly recommend!  (Note: just be careful to park in the garage on the lower level and only in the spaces marked specifically for retail customers or you will be ticketed quickly by whoever manages that garage.)",https://www.trustpilot.com/reviews/643cefc9746ca7dfea0ace88,2023-04-17T09:05:45.0000000Z,,Positive,Excellent Customer Service
"What an amazing experience working with Ellen and the entire Green Lake Jewelry team.  It all started with a simple concept of a beautiful halo engagement ring, show casing a gorgeous diamond sitting on top of a beautiful infinity symbol to bring the entire ring together based on our forever love for one another.  From Ellen’s first sketches, to the 3D CAD drawings, to the wax moldings, casting, and finish product, I could see the entire ring come to life.  The guidance and communication was terrific and made the entire custom design process a lot of fun and stress free.  The weekly app updates through the process eased my stress about the final product. The team did a great job hitting the timeline (approx. 2 months) so I could pull off my proposal in Maui during our vacation.  I couldn’t be happier with the overall quality and beauty of the final custom engagement ring.  Best of all she said “YES”!Description of custom French Set Diamond Halo engagement ring: Custom 950 platinum ring holding (1) 4-prong set GLJW provided round diamond center stone surrounded by halo of (16) GLJW provided round diamond melee french set. Each shoulder features (10) GLJW provided round diamond melee french set and each side face features a pierced, CAD-and-cast infinity symbol. This ring also has a round shank, slightly domed profile, and a high polish finish.Thanks for the great experience and lovely ring.Mike Johnson",https://www.trustpilot.com/reviews/63f154549b64b1bdaf5bc3ba,2023-02-19T00:42:28.0000000Z,,Positive,Positive Experience Overall
"I went to Sophia to design my custom engagement ring using an heirloom diamond. She did a FANTASTIC job. I went in with some somewhat squishy ideas of what I wanted. I showed her some inspo pics, telling her what I liked and disliked about each ring. She pulled a few rings out of the back that were hitting my vibe so I could try them on and see some aspects in real life. We again discussed what I liked and disliked about these rings. She then took about 10 minutes in the back to draw a sketch, which was PERFECT. From that sketch to the wax model to the final product, I didn't change a single thing (though I could have if anything wasn't to my liking). She then designed a simple pave wedding band to go with it.The only negative about the whole thing is the shop was swamped with work (good for them) so it took about three months to get the rings (one month to get the wax model and then another two to get the final product). Worth the wait for the perfect ring set though.",https://www.trustpilot.com/reviews/62a1a9950031539b613a5b45,2022-06-09T10:04:37.0000000Z,,Positive,Custom Design Process
"From first appointment to the day I picked up my beautiful ring, the staff at Green Lake was 100% professional, gracious and patient with my numerous questions while working through the design process.  I recommend Green Lake Jewelry for not only crafting your ""visions"" into beautiful reality but also for repairs on your family heirloom pieces.",https://www.trustpilot.com/reviews/6362d4b4252cba2c02cd4f5b,2022-11-02T22:36:04.0000000Z,,Positive,Positive Experience Overall
"Green Lake did an amazing job on our rings  my partner and I wanted a mountain scene that was sentimental to us on the rings and they did a beautiful job transferring this scene to yellow gold,  The experience and interaction to get this completed was so fast and easy and I am technologically challenged!  You will not go wrong choosing this jeweler",https://www.trustpilot.com/reviews/639089040b7fc02715d709b8,2022-12-07T14:37:24.0000000Z,,Positive,Beautiful and Unique Ring Design
"Wonderful company and fantastic custom results. They combined all my conceptual wishes into an absolutely beautiful design, worked with me constantly on the details, and patiently and carefully implemented all my feedback. The final product is absolutely gorgeous, and I'm incredibly happy I went to them!",https://www.trustpilot.com/reviews/636e6fbcb84cc27618e91593,2022-11-11T17:52:28.0000000Z,,Positive,Custom Design Process
"I couldn't recommend Green Lake Jewelry enough. I came here with a very custom idea and I couldn't be happier with both the result of the ring, both in quality and in perfecting the look I had imagined in my head.My designer Brooke was beyond words amazing. I came to her with an idea and a water bottle filled with Herkimer diamonds me and my gf found together. She helped me further envision the ring that would be perfect for my gf. We decided with Montana sapphires and Brooke was patient enough to wait for me to mine my own and bring back the rough sapphires for their amazing gemstone buyer Brant to take a look at.Brant was a huge part of the success of what brought this project together. Ya know when you meet somebody and they love and breathe their craft? Yeah that's Brant when it comes to gemstones. I was beyond happy to have gotten his help in this project and it just reflects more of the quality Green Lake Jewelry invests into its business by employing only the most skilled people like their gemstone buyer Brant.Watching the ring come together from the 3-D autocad and the wax mold. All the way to casting and progress pictures of setting and gold work. The process of taking raw metal and some stone from such a rough shape to something so beautiful is a skill beyond words.Their Jeweler Marc is beyond words. The detail and quality he puts into his work is apparent in every curve and bend in this ring. The thought and intelligence he puts into his craft is something you won't find in many people. He crafted the leaves of the vine wrapping up the ring to hold in the Herkimer diamonds in such a way that if I need to replace the stones in the future I can. The kindness this man has radiates from him and I couldn't thank him enough for his work on this ring.To all at Green Lake Jewelry thank you so so much. Hopefully my gf doesn't see this review as I still have 2 weeks till I ask her 😂",https://www.trustpilot.com/reviews/643cb4c3746ca7dfea0abfca,2023-04-17T04:53:55.0000000Z,,Positive,Custom Design Process
