"Content","Consumer Sentiment Classifier","Automatic Classifier"
"So far, it is a good match. I am learning new skills and I hope it will be the same case throughout the whole course.","Positive","Course Content"
"This course is a complete guide as it says. I am really happy that I got to access in-depth knowledge as well as the practical approach. This course is highly recommended to everyone who wants to enhance their career in Digital Marketing field. A big thanks to Robin & Jesper sir.","Positive","Course Content"
"So far this is great and the best course I've tried. There are a few things different when building my site that caused me issues, especially how the blog page building is set up, but mostly it's on point. If this course was out when I first started building my marketing business and others, I would be a millionaire by now lol. I'm just now in section 3 and it's one of the best and fastest ways I'm building my product and business. I'm doing this for my marketing agency which differs from selling glasses, but it has been mostly easy to make the adjustments to what I need. I only have half star off because some small things are different, but I would recommend this to everyone. I'll update later in the course.","Positive","Course Content"
"I'm just following along the videos and I have a nice looking live website for online yoga classes. It allows me to focus on other aspects, can't wait to finish the content and get onto real business.","Positive","Course Relevance"
"The course is very worthwhile according to price. It will give you the path and right direction toward your Journey. Everything is well explained but some sections were outdated like the freelancing section. I request the mentors to update the out-dated parts. The best course of digital marketing at reasonable prce.","Positive","Value for Money"
"I am enjoying this course as the information is clear, useful and up-to-date.  Absolutely no regrets on paying for this course.","Positive","Usefulness"
"Amazing! The course has all the necessary tips to start your marketing project right now. These guys present information in a very simple and accessible way. Thank you very much!","Positive","Course Content"
"you are giving very basic things that basically everyone knows. nothing new. i can go on and on about this in details but this is waste of time and money. very disappointed","Negative","Usefulness"
"This course is really very interesting  and I am able to learn more and more things as soon as possible and want to become Digital marketing in the near future.","Positive","Course Relevance"
"The Course is really super awesome... There is a lot of hands on experience throughout the course... Really loving the course...","Positive","Course Content"
"I just started this course, I tried taking it before but the tools they were teaching to use were not even available anymore, and now I can see that they updated the content which is super helpful, easy and I don't even feel burnout easily since everything is very well explained step by step for everyone to understand.","Positive","Updates and Support"
"Initially it felt like a too-good-to-be-true 75 hours course at such an affordable price. But now half way through the course, I have started building my own website and planning on making a serious business out of it. Robin & Jesper are the most coolest, non-boring teachers I have ever found. The best part about the course is that they teach you everything from scratch for beginners, give helpful resources, remind you to pause & practise what you’ve learnt & share many tricks & hacks! You won’t regret it & come out with a sea of new knowledge.","Positive","Instructor Quality"
"I graduated with a marketing degree in 2007 and I have not practiced marketing since. I am looking to get up-to-date with the current trends and this helped me understand quickly some of the ways technology has improved to make our lives easier.","Positive","Course Relevance"
"I can say personally that this is the best digital marketing course I have ever come across online. Am still under 10% but am loving the the learning","Positive","Value for Money"
"Overall the course delivers pretty good value.         But for me, I must say, Robin's content, presentation & delivery are much higher quality than Jasper's.","Positive","Instructor Quality"
"This course is Top notch and I highly recommend this course to anyone out there hoping to become a top 1% digital marketer","Positive","Instructor Quality"
"There is a lot of content that i did not checked, but to be honest i bought this only because of google ads. And that section is preaty old and not updated yet","Negative","Updates and Support"
"Super well made course. I have randomly listened to a few lectures and already got way more value than the price of the course. Will definitely go through every single lecture eventually.","Positive","Value for Money"
"Not any words can explain how good it is? This course is so amazing. Thanks for sharing all information, I think this price is so so cheap for this course. Love it !","Positive","Value for Money"
"This is the money pit of all courses. I have taken other classes on Udemy and LOVED them.... this was by far the worst. Bluehost SUCKS, if your not a tech savvy person keep scrolling this isn't the class for you!!","Negative","None"
"I have the dream of becoming a digital market for the hospitality industry with over 12years experience in traditional marketing. This lecture is a complete package because , I can use different social platform to target different groups and packages. I hope to be able to always access this course because based on my next employment, I will know which area the company needs improvement and engage with this resources again . Thank you Jesper and Robin!","Positive","Course Content"
"All the videos are so easy to understand and follow. Everything is explained so well and with such clarity, that I'd recommend this course to anyone, even beginners","Positive","Ease of Learning"
"Amazing Amazing Amazing Course..... The guy is GOLD. Explains everything clearly and methodical. Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you","Positive","Instructor Quality"
"Kurs zawiera wiele informacji, są one jasne przedstawione. Robiłem już inne kursy i ten też ogląda się przyjemnie.","Positive","Course Content"
"I found this course to be really good. I learned a ton about general marketing. I have one issue that I found and it was big one. The Google Ads isn't updated to the latest settings. If you are getting this for Google I highly recommend finding a different solution to training. Their format and teaching is great though.","Positive","N/A"
"The section of videos is going step by step and explanation is really understandable which help to gain more knowledge about digital marketing also the tips are really useful so i can get more reach on every social media platforms by using this strategies .","Positive","Course Content"
"I'm thoroughly enjoying this course and gaining a wealth of knowledge! The content is engaging, and I find myself absorbing valuable information with each session. it's a fantastic learning journey, and I can already see its positive impact on my understanding of the subject.","Positive","Course Content"
"I think that you give us important information but the problem that you speak too much detail, but i can say you are the best thank you too much","Positive","Instructor Quality"
"Great job my polish friends (sorry if I made a mistake). I've met a lot of polish people throughout summer seasons in my town and you guys are as great as all of them were. Thank you for the time you spent on making this course. Cheers!","Positive","None"
"I feel that the course is not organized properly by the order someone should learn this topics. But the content ir really good. Thank you","Negative","Course Structure"
"Absolutely thrilled with the ""Digital Marketing & Social Media"" course! The instructor is phenomenal, bringing an exceptional level of expertise and enthusiasm to each session. Their knowledge of ChatGPT, Prompt Engineering, Google Ads, Facebook, SEO, WordPress, Instagram, and YouTube is outstanding, and they deliver the content with such clarity and insight.","Positive","Instructor Quality"
"amazing course. the tutor is well verse and the combination of chatgpt is another level course. worth paying for the course.","Positive","Instructor Quality"
"I’ve bought this course since along time ago and i found that they have updated it with so much new and helpful information","Positive","Updates and Support"
"I am in process of learning this course. Very helpful and amazing course. Lecturer are explaining concepts in very easy way. Thankyou for this course.","Positive","Teaching Style"
"Udemy's Digital Marketing Course offers a comprehensive overview of various online marketing channels, with engaging instructors and a practical approach. The course provides lifetime access, but occasional updates are needed to keep pace with industry changes. While it covers a broad spectrum, a more personalized experience and increased interactivity could enhance its overall effectiveness.","Positive","N/A"
"This course has not equal!! Amazing! I love these guys! I did many of their courses and NEVER ever disappointing!!","Positive","Instructor Quality"
"The content is super amazing and really in depth so far, but I will have to do some adjusting on my own as my existing website is with Wix and not Wordpress so a lot of the tools and tips don't work for me. I have a background in copyrwriting and web design though, so this won't be too much for me to overcome.","Positive","Course Content"
"An outstanding digital marketing course, and it exceeded my expectations. The content was comprehensive, covering everything from SEO and social media to analytics. The real-world case studies and practical exercises were particularly helpful in applying theoretical concepts. The instructors were knowledgeable and provided valuable insights. Overall, it's a top-notch course for anyone looking to master digital marketing strategies.","Positive","Course Content"
"The online course was excellent. Informative content, it was a valuable learning experience. Highly recommended!","Positive","Course Content"
"Everything you need to know about Marketing is explained in this course, in a way that everyone can understand. It also shows how you can make things easier thanks to AI. It's simply amazing ⭐️⭐️⭐️⭐️⭐️","Positive","Course Content"
"In the moment that i am writting this descriptiton i am on the branding  section  of this course and after what i have seen from our teachers and there way of talking ,  explaining i advise all of you to try this course.","Positive","Instructor Quality"
"This course is so detailed and understandable. like you could have no idea about Marketing and you'd learn so much from this course.","Positive","Course Content"
"I was not under the impression that this course was an step-by-step for very beginner individuals.  I was hoping for more industry specifics and insights into strengthening my marketing skills.","Negative","Course Relevance"
"Having no experience with ChatGPT before and actually being skeptical of it, I found that using it in the course makes life so much easier","Positive","Usefulness"
"yes!!! it pretty help me to increase my knowledge so far that also in a small budget investment.  cool right ? but the videos are old recorded and uh know digital world is a volitile world","Positive","N/A"
"As a Master student that have willingness to learn Digital Marketing, this course will be the best to learn. As It is concerned from the beginning to be master of Digital Marketing.","Positive","Course Relevance"
"I mean the lesson on certain topic a very useful sometimes there are some that really put me off on digital marketing maybe that’s a personal thing.","Negative","Usefulness"
"I really enjoy the resources and that you can follow step by step while saving information on the PDF's supplied.","Positive","Course Content"
"I need to watch it for more than two times to get the essence of it. Explanation part is good but I feel that  it would be better if the tutor explains more on actual making of the website as that would develop more interest to learn fast and try many as home work. On the whole subject and tutoring is good, I personally feel that I would learn what i am looking for. Rgds","Positive","N/A"
"Udemy's Digital Marketing Course is a game-changer! Comprehensive content, expert instructors, and practical learning make it a must for anyone seeking digital marketing skills. Highly recommended!","Positive","Course Content"
"Out of all the ""complete digital marketing courses"" this one has the best content and explanations about topics. Well done Robin & Jesper!","Positive","Course Content"
"As someone who has some experience in this department and have read multiple books by industry leaders about marketing, this course has SO MUCH VALUE.","Positive","Value for Money"
"So far this is a great course to get started, especially if your technical skills lie outside of the domain of website building and marketing.","Positive","Course Relevance"
"A great course. I am not a marketing specialist, just wanted to understand how  the digital marketing industry works, the main principles & learn google analytics. And I did. Also I learned about tons of useful websites, which I will use in my everyday work, not only for the marketing purposes. Thank you!","Positive","Course Content"
"I have a certain doubt that is whether there will be any AI detection by any sources. As a content writer myself, I have seen employers asking me to write AI-free content for their sites so using chat gpt for everything would obviously trigger the AI checker. Am I Wrong?","Negative","Course Relevance"
"I really enjoy this course!  The instructor knows what he is doing and the information provided has exceeded my expectations!  I struggled finding my competitors for an online course as my product however, as most competitors sell independent courses on larger platforms such as Udemy or edx.  Would be cool if the can add something small here on how to navigate competitor analysis for this specific product.  Overall- TOTALLY RECOMMEND!","Positive","Instructor Quality"
"yes i found this course very relevant and amazing. your teaching skills are amazing and i learnt many things here. i was using instagram from many years but was not aware about the  key features of it.","Positive","Course Relevance"
"Course is very exhaustive & very easy to understand. Really appreciate the work done in creating this course. Thank you so much !","Positive","Course Content"
"I give 4.5 stars because there are parts regarding setting up your wordpress via bluehost that is not updated. But overall, all is great.","Positive","Updates and Support"
"course content is great.  I'm ging through once and will do a second and third time once I understand the Macro content for setting up site.","Positive","Course Content"
"Google has changed everything so getting to the Keywords section was a big pain. Otherwise I'm very excited because it looks like I can rank pretty easily!","Positive","Course Relevance"
"This is a very informative and understandable course and the instructions also easy to follow. Moreover, it's really enjoyable and interesting to go through the course.","Positive","Course Content"
"would be great if other platforms to create website would be provided, where website building is on a free basis","Positive","N/A"
"This course leaves no marketing stone unturned. Perfect for beginners and the qualified alike. Lectures are short but info packed as well as interactive, making them fun instead of cumbersome to watch.","Positive","Teaching Style"
"THIS course is a amazing . but i face some issue like i cant get unlimited website plan . and one more thing i cant get your master notes file where you mentioned all details how to change color, font, please send me this file in this email address pelstars44@gmail.com   or guide  me.","Positive","Updates and Support"
"The course is easy to follow and very informative. I feel comfortable with the layout so far and I like how the modules are presented.","Positive","Course Structure"
"I'm learning so much more than I expected.  Love all the resources available and the easy-to-follow guide.  Very happy with this course.","Positive","Course Content"
"great value for money…well structured, fokused, insightful, they know what they are talking about … rated what I‘ve seen so far (google ads)","Positive","Value for Money"
"I recently had the pleasure of taking the Digital Marketing Course, and I can confidently say that it exceeded all my expectations! This course is an absolute gem for anyone looking to enhance their knowledge and skills in the ever-evolving world of digital marketing.","Positive","Course Content"
"The course is not organised; the same topic is broken into parts and taught in multiple sections instead of being taught in one section and then moving on to the next, e.g., WordPress. Neither are they in the order they should be, like first SEO, then WordPress, etc.","Negative","Course Structure"
"Oh my God, My name Is Bill Tenway from Liberia, i never thought online learning could be easier until my Brother recommended UDEMY to me, I really love the presentation of the lesson, very simple, especially for beginner like Me.","Positive","Ease of Learning"
"Crystal illustration with walkthroughs of how to accomplish this.....and provide information in bite size modules","Positive","Course Structure"
"I've gone through about 8 videos thus far and everything is well detailed and at a perfect pace too. The Marketing Strategy Guidebook should be called The ULTIMATE Marketing Strategy Guidebook. It's that good! So far, this is the best Udemy course I've ever bought, and I have quiet a collection.","Positive","Course Content"
"Die ersten Lektüren erzeugen bereits eine hohe Motivation mehr über Digital Marketing zu erfahren und der Tutor ist sehr klar und überzeugend!","Positive","Instructor Quality"
"Not at all helpful if you are actually building a business. So basic that if will not actually help you to run a startup or small company or you ma already know all the stuff.","Negative","Course Relevance"
"if possible provide free or trial  websites to learn with. the price may be less for some but not for all around the globe. it may be a few dollars in one part bt thousands when converted into regional price","None","None"
"I learnt about new things such different brands , Moreover their pros and cons . Additionally, it enhances my productivity as well.","Positive","Course Content"
"Its really good to understand, vast topics covered and made to understand in very easy way with demonstrations.","Positive","Course Content"
"Enjoying. My requirement is somwthing different. I am running a coaching center and I want ideas for the same. What kind of Wordpress Theme will work kindly suggest me if possible. Thanking you.","Positive","Course Relevance"
"The course offers holistic and very rich material packed lectures, which are exactly what I'm looking for to boost my skill set. It is amazing!!","Positive","Course Content"
"This lecture is great. They made a marketing strategy guidebook, then taught me how to use chatGPT to search for my product information, and then just copied & pasted that information into the marketing strategy guidebook. They also reminded me to recheck chatGPT information. I want to learn more","Positive","N/A"
"it helps alot if you can offer premium or Pro versions for free by any hack or downloads anything. Hope to get some good plugins soon to stand out in competition.","Negative","Marketing Skills"
"Excellent course! I'd recommend this to anyone who is interested in Digital Marketing. So much information contained in the course, and it's articulated very well. There are many resources added, which is a bonus. Thank you for creating this product.","Positive","Course Content"
"This course is very fluid, interactive and fun as such it aid in keeping my attention while I am actually learning and getting the steps correct","Positive","Teaching Style"
"This is exactly what I was looking for. I love this course, everything is explained in detail. I strongly recommend this course for those who do not have any basic knowledge of digital marketing, chat GPT is the superhero, it's amazing. Thank you so much Robin & Jesper.","Positive","Course Content"
"The lecturer is just the best at explaining real hard core info in the simplest of way, his examples are just so helpful in understanding what he is teaching.","Positive","Instructor Quality"
"that's a great course, which have all the knowledge relates to marketing. cover all the topic very deeply... Thanks sir to give me a great skill. Possible that will help me in future.","Positive","Course Content"
"THANKYOU FOR THIS LECHURE, HONESTLY ITS PRETTY SIMPLE TO UNDERSTAND THE VIDEOS AND BEST FOR WHO DOESN,T KNOW ANYTHING","Positive","Ease of Learning"
"This is among the most transformative courses I've ever taken, significantly improving my life. It's an exceptional course that integrates various features into one. You acquire skills in devising marketing strategies, testing products like a product manager, and selling and evaluating products. This course on Udemy teaches you how to test products in the most efficient way possible. I express my deep gratitude for this learning opportunity.","Positive","N/A"
"Good presentation for the information- I got excited from the beginning to the content - and this is the key of good courses","Positive","Course Content"
"It is the best decision I ever made! So far so good the lectures are easy to understand and the resources well laid out for better understanding.","Positive","Course Content"
"The Course is awesome however, I have a few queries and would like to know how to reach you with those queries. Also would have loved it, if a little more in-depth knowledge was provided, e.g. creating multiple websites part which I didn't understand when you discussed bout the Bluehost plans","Positive","Course Content"
"this course is a good match for me, not only am I studying the theory of digital marketing but we get to do practical's as well. I'm enjoying the course.","Positive","Course Relevance"
"I like that they are serious about their course, they give full explanation without leaving out things. Really enjoying the course untill now","Positive","Course Content"
"Robin and Jesper have done a great job in clearly and thoroughly explaining everything so that I now feel like I can be confident in my approach to digital marketing! Highly recommend.","Positive","Instructor Quality"
"Everything is easy to understand and I am loving the way that everything is being explained, simple, easy, I love it!!!","Positive","Ease of Learning"
"It was an amazing experience to learn these skills right from experts with a very reasonable price compare to what value it provides.","Positive","Value for Money"
"They didnt warn that most of the stuff will cost money here. I discourage u from purchasing it. Also he never explains the why we do this etc or the alternative scenario. Dont go for it .","Negative","None"
"Seems like a great course for learning Digital marketing. Although i haven’t completed it yet. Will update further","Positive","Updates and Support"
"This is a great course for someone who is new and needs to understand the bigger picture of Digital Marketing and website development. I have learned so much and I cant wait to take other courses offered!","Positive","Course Content"
"This course  provides comprehensive insights into product sales, offering a thorough exploration of leveraging AI for efficient product marketing. I highly recommend it.","Positive","Course Content"
"very eye-opening and very useful information. I like the market research section is well-explained and structured","Positive","Course Content"
"Super good knowledge for my future! Only 12 years old and it works for me! Why wouldn't it work for you? What are you waiting on!","Positive","None"
"Absolutely outstanding digital marketing course! Instructors are experts who provide practical insights. The comprehensive curriculum covers all key strategies. Cutting-edge content keeps you ahead. A must for anyone aiming to excel in digital marketing!","Positive","Course Content"
"The best course i have ever seen and these guys are teachers from God. I want to thank you for Robin and Jesper . These teachers are my SHİFU","Positive","Instructor Quality"
"the examples and practice products has already opened my eyes to so many ideas for research. I also like how it shows you how to prompt questions to chatgpt.","Positive","Course Content"
"I like the way all information is set, all the tools and steps are not described but also shown that is extremely important","Positive","Course Content"
"Udemy's Digital Marketing course is a game-changer for anyone looking to establish a career in digital marketing or enhance their existing skills. The comprehensive content, expert instructors, interactive learning platform, up-to-date material, flexibility, and affordability all make it a top choice. I feel well-prepared to tackle the challenges of the digital marketing landscape, thanks to Udemy. I highly recommend this course to anyone serious about mastering the art of digital marketing!","Positive","Course Content"
"it was a great experience and expectation, though it was  boring at the start, but right now I'm an hot cake, after the lecture I got a good paying job","Positive","Instructor Quality"
"They are amazing, I've taken their courses earlier also and found very useful and full of basic to advanced knowledge. It is above expectation, appreciated.","Positive","Usefulness"
"Excellent In-depth Ultimate Course explained in detail with great enthusiasm with Robin & Jesper. I have learned many things that would have taken years and trails to learn for me and my company. I am implementing their methods step by step. Keep up the great work. 7 Star Course.","Positive","Course Content"
"i have just took 3 lectures and trust me its so effective to learn and easy to understand i really like the way he is teaching","Positive","Teaching Style"
"yes it was a good match for me, especially the way you made this complex course look simple by breaking it down into smaller points, steps are well arranged and involving learners with practical examples.","Positive","Course Structure"
"Even with my experience in Digital Marketing courses and work in the sector, I still found this course useful and very engaging. Providing excellent commentary with sharpness!","Positive","Usefulness"
"Pinterest , Twitter and Quora has the version of 2017 , Its not the latest , in latest everything has changed ... Not Expected , Otherwise remaining course is nice","Negative","Course Relevance"
"It was really good to understand every step the instructor took and I hope it goes this way to the end of the course.","Positive","Instructor Quality"
"The course so far has been very insightful and well presented, definately worth the money. Especially the little insights that come along with the process, thanks guys keep it up.","Positive","N/A"
"They way of teaching is outstanding. I am a person who usually don't like to take online lectures but this is amazing. a big thanks ?","Positive","Teaching Style"
"the teaching technique is quite good n understandable but difficult to see the guide book and the video as well on mobile at the same time","Negative","Mobile App"
"Actually the ways explained to increase the traffic to our web page or create a web page for free is too technical and complicated for people who are not very familiar with these topics","Negative","Course Content"
"As a starter, I can just expect that the journey is going to be exciting, information-loaded, and beneficial even though it's not going to be short. full of enthusiasm to learn more & more.","Positive","Course Content"
"I think I am not able to get practical experience. He is going fast but this is good for people who already have some SEO and digital knowledge. Trainer is good though.","Negative","Practical Application"
"It was easy to understand but I will be more satisfy if this lecture have option to change my preferable audible language.","Negative","Language Clarity"
"This course has everything I need and more. A little intimidating because of the wealth of info but all worth it. The teaching style is so easy to understand. Thank you RnJ","Positive","N/A"
"It was a good match for me because it provided me with the information I hadn't fully known how to put together before taking this course.","Positive","Course Relevance"
"AMAZING course. absolutely loved it, detailed explanations, PLENTY of new things I got to learn, and the examples were helpful too.","Positive","Course Content"
"This is very insightful. As an aspiring Digital Marketing wannabe, this is a golden nugget. I badly want to learn SEO, and this course provides the strategy I can use to go SEO for a client. Thanks!","Positive","Course Relevance"
"I have to say, I am impressed. Besides the wealth of knowledge, I respect the fact that the blue host conversation includes him saying he receives a commission. I respect this so much. There is no deception, and because I like what I am learning, I am more than happy to use his affiliate blue host link. This is the way things should be. Thank you for being honest; what a breath of fresh air. Well done!","Positive","Instructor Quality"
"This class seems to be more about selling Chat GPT than about actually marketing. I was hoping to learn how to do real market research not just take things from Chat GPT and paste in the name of my product. So far market research has been 'we are going to use Chat GPT' and website building is ""lets use chat GPT"" the title of this course is very misleading.","Negative","Course Relevance"
"courses are not updated. I'm facing with so many problems. It takes 1-2 hours to find out what is the problem just because of course is not updated enough. I don't really recommend it","Negative","Updates and Support"
"he does a good job at keeping me entertained while learning. I have seen this course get updated a lot as well so I am grateful","Positive","Updates and Support"
