Content,,Consumer Sentiment Classifier,Automatic Classifier
This course was very helpful. I learned so much and now better understand how AdWords works and how to best optimize the campaigns we are running.,,Positive,Course Content
Great course for the money overall. I took this as a requirement for my advertising class at Cal Poly San Luis Obispo and I feel like it thought my something important about advertising on digital platforms. Thank you! I feel like I will proceed to use the knowledge from this course in my professional future.,,Positive,Useful Resources
Not a bad walkthrough of all the major elements of a PPC campaign. The real-world examples really help to paint a picture.,,Positive,Walk-Throughs
"I really enjoyed this Google Adwords training, its pace and overall value provided. The course content is easy to understand.The walkthrough sections reinforce what we covered in the lectures. The instructor delivers engaging content and tips. I recommend this training for beginners interested advertising with Google Adwords.",,Positive,Beginner-Friendly
"The course is very nice, Corey did the great job of explaining everything. I recommend this course to everyone who wants to start learning about AdWords.",,Positive,Instructor Presentation
"As you progress through the course, it becomes clear at different points that some of the materials are dated.  I think Udemy should consider having courses fully refreshed after 3 years and removing any course that is older than that from the site.",,Negative,Outdated Material
"Good teacher, but I feel misled because in several parts of the course, the inferface presented is the old Google Adwords one... It seems that this course is at least 5 years old, Google Ads has changed a lot ! I would have given the course a 5 star rating if all the walk throughs sessions included the updated interface, as indicated in the description of the course.",,Negative,Outdated Material
this cause was really worth the time spent on it. I would definitely recommend it to people that want to expand and expose their business to future users,,Positive,Useful Resources
"I always afraid to learn Adwords. I try many tutorials online and it gives me confusion and headache. It also a bunch of courses for Adwords here in Udemy and I just try this course, and I never go wrong. It easy to learn and follow the course. I really enjoying it. Thank you for the detailed course Corey.",,Positive,Beginner-Friendly
"This is a good course.  I do recommend it.  However, the AdWords user interface has changed quite a bit since this course was developed.  It can be hard to follow along on many of the examples.",,Negative,Outdated Material
"I was looking for something deeper knowledge about AdWords but I find out this course is perfect for Beginners. So if you have not used AdWords before, this is gold mine for you!",,Positive,Beginner-Friendly
"I started my first campaign 3 weeks ago and during this course I made some modifications, get some good advices, so yes, I'm enough satisfied. Only one thing, some lectures aren't anymore relevant, because some things already changed. I would suggest to make an update.",,Positive,Outdated Material
"A lot of the information is outdated, as in hasn't been updated since 2013. I am now learning this in 2022. Also, you do need a fundamental understanding of all of the metrics, otherwise you will struggle.",,Negative,Outdated Material
This course is great for beginners with very little experience with Google Adwords. Corey is a wonderful instructor. He provided plenty of additional resources along with demos for each concept. I definitely feel more confident with Google Adwords and will continue to study for the certification.,,Positive,Beginner-Friendly
From my point of view it is recommended for beginners that they are at first a little familiar with the terminology for better understanding. And this course would give them inside how things are working.,,Positive,Beginner-Friendly
My experience with this course was quite informative and applicable to my occupation. I can certainly understand my role better.,,Positive,Course Content
"I enjoyed the course, I'm an absolute beginner, so I still have lots of questions, but I have a much better understanding of what needs to be done. I think when the course gets updated according to all the changes in the interface etc - it would be much easier to follow instructions. Overall - great structure, professional manner. Thumbs up!",,Positive,Course Content
This course is an excellent place for someone like me who doesn't have a lot of digital marketing experience and has never seen adwords before. Everything was very easy to understand and there were a lot of excellent strategies presented throughout the course.,,Positive,Beginner-Friendly
"Great for taking me from zero understanding to a nuanced look at what tools would work for me. I am an author, and much of what is being discussed don't apply. But I find it interesting, and it may yet apply to me if I start selling some swag or expand my scope of work into hospitality.",,Positive,None
"I have learned a great deal 1 1/2 in! I'd highly recommend this to others based on my experience so far! My only critique would be the sound quality, it's very inconsistent across the courses. Some are louder than others, so I have to be ready to jump on the volume.",,Positive,Engaging Content
"It is a good basic course but it is quite out of date and requires prior knowledge of AdWords. It has not been one of my favorites ... I also suggest adjusting the audio settings, they are very low and require putting the audio to the maximum and even then it is low.",,Negative,Outdated Material
Much of this tutorial is based off very outdated (2013) interfaces and graphics. The general concepts are the main takeaways but the inputs can mostly be disregarded.,,Negative,Outdated Material
"It was a good course with fairly good information. However, it needs to be updated a bit as per the changes and updations in Adwords.",,Positive,Outdated Material
"I would like to get into detail but this course covers the key points comprehensively , must also build a more detailed version.",,Positive,Course Content
"I really enjoyed the course, it is very complete with examples and everything. Needs some updating though but the he's getting done little by little.",,Positive,Outdated Material
Corey makes the whole process for a beginner very seamless. I didn't feel overwhelmed as he explained the basic concepts so well. Great welcome to the AdWords world.,,Positive,Beginner-Friendly
"The instructor was awesome.  He was easy to understand and to keep up with, but went at a good pace - he didn't go too quick nor too slow.  Additionally, the course had everything I was looking to learned and I now feel confident that when I go into Adwords, I can make some great ads.",,Positive,Instructor Presentation
"I was looking for a smart, straightforward, and thorough introductory course to AdWords. Corey's lectures delivered.",,Positive,Beginner-Friendly
"I'm always hesitant about online classes, mainly will it be worth my time? Answer, absolutely. I was tired of having this black-hole of knowledge that is Google AdWords. Who doesn't google things these days? Corey does an excellent job distilling the topic and gives you an abundant amount of resources. Thanks man, signing up for your Google Analytics class now!",,Positive,Google AdWords Basics
"Good guide for learning by doing. Google adwords is still fairly intimidating software, by the nature of not explaining everything from scratch, but I feel comfortable with the basics.",,Positive,Google AdWords Basics
"I enjoyed the lessons here in this course, very impactful they were. However using a phone it's not clear enough but above all I loved it.",,Positive,Engaging Content
"I really enjoyed this course, it answered a lot of questions I had regarding AdWords. I will now use this information to correctly set up an AdWords account for my company. And I can now even help other people who are trying to do the same thing.",,Positive,Course Content
"Course needs to be updated. Its a good start but not worth paying for imo because its old info. Nothing about Call-only campaigns or how to choose keyword matching options. If you are totally new to adwords this will help you get a step in the door, but not much more.",,Negative,Outdated Material
"I bought the course initially for learning SEO and AdWords in order to work on my online projects. I paced my self and got a lot from this course, even started my own ad campaign. Thanks!",,Positive,AdWords Campaigns
Really helpful and great beginner or refreshener for Google Ads - Corey Rabazinski really clear and to the point.,,Positive,Beginner-Friendly
I'm new to Ad Words so this was all new content for me.  I feel I'm leaving this experience with a basic knowledge to carry on to the next courses,,Positive,Beginner-Friendly
The videos have the correct duration and you can pause them and create/update material in your Ad Words campaign at the same time.,,Positive,AdWords Interface
"The version of Google Adwords shown in this course is out of date (I'm viewing this on 3/26/16). None of the screens shown match what is actually in Google Adwords at this time. The information is still somewhat helpful, but it takes a while to piece it all together. I'm glad I didn't pay a lot for this.",,Negative,Outdated Material
The course is equally good for the person who just wants an overview as well as for the person needing step-by-step help.  Good resources too.,,Positive,Course Content
"I liked the course. It's short, ideal to get a grip of Google Ads before diving into more in-depth courses. Things I wish the course would cover: better explaining the structure of Campgains/Ad groups/Ads, when and how to use them. The Google Ads interface changed, so the course should be updated. Some of the mentioned tools are now paid-only, it would be nice if this part would be updated too.",,Negative,Outdated Material
Very good but I prefer when we see the person that is speaking instead of ppt's. It make me feel like being back at uni.,,Positive,Engaging Content
"Excellent, perfect introduction to AdWords. I definitely have some direction on how to start campaigns and a process to follow.",,Positive,Course Content
Very detailed walk-through across how Google Ad works. It has been very useful if you are about to start some Google Ad Campaigns.,,Positive,Walk-Throughs
"Very informative and good explained. It's quite a challenge to put AdWords knowledge into couple of hours course, but this course covered a lot of useful topics. This one + long hours of practice should give the proper effect.",,Positive,Course Content
I have tried to learn Google Adwords on my own with alot of frustration. This course helped guide me in the right direction to achieving the best campaigns possible.,,Positive,Course Content
"A great course to introduce how google adwords works. If you are starting with AdWords, this is your course. There are no 5 stars because it will be great to add more tips based your experience Corey to success during a campaign.",,Positive,Beginner-Friendly
I love that the instructor covers each component step-by-step. He provides examples along with both a detailed examination of particular points but never loses site of the broad overall task.,,Positive,Instructor Presentation
Corey Rabazinski (course instructor) delivers both insightful lectures and clear step-by-step tutorials. I now feel confident to set-up and manage Google AdWords campaigns by myself. I 100% recommend this course to anyone who wants a quick & professional introduction to the AdWords universe!,,Positive,Instructor Presentation
Felt bit older version of google ads discussed but the good thing is the course did cover a lot of basics which is very easy to understand.,,Positive,Outdated Material
The free tools (ubersuggest & spyfu) he provided are very useful. It would of been great if he went more in depth into Keyword Research and Competitive Analysis.,,Positive,Useful Resources
What I really liked about this course is the instructor explained the most key components in Google Adwords step by step with easy to follow videos. He gave many helpful tips and useful links to help get you started. I look forward in applying all this in my campaigns ..Thanks Corey!,,Positive,Useful Resources
I went from not knowing anything about ad words to running several campaigns. Still learning as I go but this course was a fantastic start. Well worth your time!,,Positive,Beginner-Friendly
"I knew nothing about Adwords going into this course, but now I feel fairly confident that I can create some good ad campaigns. Thank you for this great resource!",,Positive,Useful Resources
This needs to be updated from AdWords to Google ads. A lot has changed and I can't figure out the new layout compared to Google Adwords. Waste of time in my opinion if it's not going to be updated to Google Ads,,Negative,Outdated Material
This course provides all what you need to jump start your career or Market your website on Google Adwords.,,Positive,Google AdWords Basics
I enjoyed the lectures. They were very informative and the instructor did and excellent job with his delivery. I look forward to trying Adwords out.,,Positive,Instructor Presentation
It gives you a great introduction of adwords and how to handle it. I'm sure that everyone who needs to understand adwords  need to take this course,,Positive,Google AdWords Basics
"I liked the progression from basics to optimization.  It's ok if it goes quickly because I can always some back and rewatch.  I'd like a bit more information in the intro, specifically, take a minute to orient the user thoroughly to the UI. Walk us through it to get our bearings before just jumping in.  Also, connect the layout to agenda so we can see what's being covered and not covered, if applicable.",,Positive,AdWords Interface
"If you just know a basic of making AdWords that's great, after watching this course you will just learn the extra touches when creating an ad and make it preform better",,Positive,Useful Resources
Course is misleading when you say 2020 in the title since it's no longer AdWords. Course content was good and simple to understand and follow.,,Positive,Outdated Material
"Everything is explained very clearly, content was useful and easy to understand. Instructor is very good orator, his lectures are very interesting.",,Positive,Engaging Content
"Die Basics sind gut erklärt, aber leider nicht alles auf dem aktuellen Stand. Einige Inhalte sind etwas veraltet.",,Negative,Outdated Material
I had no clue about Google Adwords or how to set it up and this course has been so helpful! He's literally walking me through the steps to get my small businesses google AdWords set up. Very clear and concise!,,Positive,Beginner-Friendly
I am a Marketing Manager but have never really used Google Adwords.  The insight this course has given has given me the resources I need to start using it for the company and how we can get the most out of it.  I would recommend to anybody wanting to learn Adwords,,N/A,Useful Resources
Was a good course and learned a lot. Some stuff was a bit to fast and lot of information to take in but overall good course.,,Positive,None
Thank you so much for this Course and all the details. It is very clear and I am now able to create my own campaigns!,,Positive,Clear Instructions
"I had opened my Google AdWords account for my small business and felt like I had a pretty decent idea how to use it. However, after going through Corey's course I realized that there was a LOT of stuff I did not know about and/or properly understand how to use. I can confidently say that this course will pay for itself in a heartbeat and generate a fantastic ROI for my small business. Thank you Corey!",,Positive,Course Content
This course was very beneficial and I learned quickly in this three and a half hour course. Thank you!,,Positive,Useful Resources
Was informative but not too much meat.  More like a very basic overall that I felt could have been watched on Youtube.,,Negative,Google AdWords Basics
"Although it is targeted at beginners, as someone already familiar with the structure of Adwords/Analytics, I have picked up 3 or 5 solid ideas to improve my account.",,Positive,Practical Strategies
"I'm expanding my role in my company, and this was a great course to introduce me into the basics of Adwords considering I have not used or dealt with Adwords before.  A course like this for Facebook Advertising would be a good idea for the future :)",,Positive,Beginner-Friendly
I thought this course was great. Corey shared a ton of information and the discussion group added even more value.,,Positive,Engaging Content
This was a great intro for me as a traditional marketer to learn about how to use Google AdWords to supplement my campaigns,,Positive,Beginner-Friendly
"This course was very comprehensive and easy to understand, especially for someone who almost has 0 knowledge on the subject.The additional free and downloadable content are also very valuable and helpful. Thank you!",,Positive,Useful Resources
I have just finished this course and I learnt a lot. The course is well structured and easy to digest . Corey explains everything really well using short videos and an Adwords account to walk you through the process of creating your first campaign. I am just looking forward to expand my knowledge with his new book and I am about to start his Google Analytics for Beginners course. Keep up the good work Corey.,,Positive,Course Content
"Whilst Google AdWords itself is multi-layered & complex, Corey made this course easy to understand even for a novice such as myself who has nothing to do with this type of work previously. Thanks so much. Great structure and keeping it simple to follow for the beginner! :)",,Positive,Beginner-Friendly
"I appreciated a lot this course, I'm not an English mothertongue but I didn't find any problem to undestrand becauseCorey speaks in a very clear and comprensible way.",,Positive,Instructor Presentation
"muy buen curso, se explica muy sencillo y esta muy completo para empezar a entender como funciona todo. Lo recomiendo.",,Positive,Beginner-Friendly
This course is a very good starting point for those wanting to learn about online advertising. It covers the important bases of AdWords in a succinct yet thorough manner. I'm trying my first campaign and I look forward to see my ROI.,,Positive,Google AdWords Basics
"This course was exactly what I needed. I will watch it several times and would suggest it for anyone looking to start with AdWords.""",,Positive,Beginner-Friendly
Thorough. Nice pace. Great tips and recommendations for other websites/companies/resources. Walk through videos very helpful.,,Positive,Engaging Content
"This class is fantastic for people just getting started with Adwords advertising, tons of great optimization tips that I hope to use soon after starting my campaigns.  I highly recommend this course to anyone who wants to start or improve their adwords marketing.",,Positive,Beginner-Friendly
"I thought this was a great introduction to the world of AdWords. It would be great to have an opportunity for a AdWords certificate study guide, as well as tests and worksheets for a grade to go with this course, if that is possible.",,Positive,Course Content
"The course was easy to follow and Corey explained AdWords, which seems complex to implement, in a way that is easy enough to get started.",,Positive,Beginner-Friendly
Very thorough explanation of Google Adwords. Can easily set up a campaign now and go beyond basic functionality to get the full benefit of adwords.,,Positive,Comprehensive Overview
"I am taking this course to help me become a better candidate for new jobs, this course is easy to understand and follow along.",,Positive,Beginner-Friendly
"This is the first Udemy class I've ever taken and I'm super happy with what I learned.  The use of screencasts makes this class truly applicable and achievable for me (49-year old, non- tech savvy entrepreneur).  Without somebody showing me exactly how to do it, it would have just been interesting, but not something I could accomplish on my own.  I posted a question during the course and Corey emailed a reply within 48 hours.  I would rather pay for something and get value than watch something useless for free.  I didn't know about coupons so I paid the full $99 price and I still feel like I got a bargain.",,Positive,Engaging Content
"I actually purchased another adwords course before this, the first course I bought was not well organized and all over the place. But I think after learning from this course I could understand the first course better. This course is best for those who are not familiar with the parts of adwords, want to know the terminologies and understand it, etc. If you're looking for a course that will teach you step by step in creating the ad, this isn't it. Though this shows you those steps, it does not show you how that happen.",,Negative,Course Content
"I am learning a ton of good info, tips and tricks, plus he explains it in a way that clicks with my brain. :)",,Positive,Engaging Content
Overall it looks good but I don't think this version of Google Ad is the latest version and I wouldn't do this course if I knew it before.,,Negative,Outdated Material
Learned so much about all that things you can do with AdWords. The competitive research info was also super helpful!,,Positive,Useful Resources
I have learned a lot from Google AdWords for Beginners 2020 online training. I will recommend this to my co-workers.,,Positive,Google AdWords Basics
"Very brief description of AdWords features. I'm beginner, I read few articles about AdWords but there was nothing new in this course. You will find the same in Google Help.",,Negative,Outdated Material
The content is great and explained in a manner that brings those who have no exposure to AdWords up to speed very quickly.,,Positive,Beginner-Friendly
I think some of the content could be updated since looking at the recent revisions made to the Google tools and capabilities.,,Negative,Outdated Material
I'm really glad I took the course.  I'm going to save huge money and get more conversions as a result!  Worth it.,,Positive,Useful Resources
"I like the bite size videos. He explains the topics very clearly in short and simple words, very straightforward. Great resources and tools provided too. Thank you!",,Positive,Engaging Content
"Great beginner course for an introduction to AdWords.  Well organized, easy to follow, and walk throughs were very helpful.",,Positive,Beginner-Friendly
Very informative and I learned a lot of new things! Hopefully this will translate well into my campaings,,Positive,Useful Resources
Surprisingly comprehensive and detailed overview of basic and advanced Google Adwords capabilities from an online course.,,Positive,Comprehensive Overview
It's a great course that covers most of Adwords' aspects. Good for newbies also. The teacher is really helpful :),,Positive,Beginner-Friendly
"More an thorough introduction to the service than an in-depth guide on AdWords strategies, but still very well explained and helps everyone a bunch!",,Positive,Google AdWords Basics
"This is a really helpful beginner's guide. Some of the info seems a bit outdated, and the speaker volume is inconsistent. Otherwise, a very good course.",,Positive,Outdated Material
"Great and straight to the point ,easy to follow along and the instructor encourages questions. The quality of the sound and sometimes when you complete a section it doesn't show up so when you complete the course you don't get your completion certificate . But that's just nit picking the course is grate and that's the most important bit. I would take another course from this instructor. Alan Kelly",,Positive,Instructor Presentation
Found it to be easy to follow. Would have liked quizzes throughout to ensure I'm absorbing information and understanding it properly.,,Positive,Beginner-Friendly
Learned a little bit. Some sections were much more helpful than others. Worth the $10 or whatever it was.,,Positive,None
The course was very useful and helpful as an intro in google ads. Sometimes  gives very useful links and sources about different types of  strategies.,,Positive,Useful Resources
Felt this was not an up to date 2020 course - useful but a lot of the Google Ads interface/functionality was significantly different to the version the course ran through. Lots of functionality that I could not access (such as Google / Organic keywords info). Felt I still took away learnings for my business but not the same level of other Udemy courses I have completed.,,Negative,Outdated Material
The google AdWords version i have is not the same as the one in the course so it took longer to find things,,Negative,Outdated Material
Adwords interface is quite older. Can think of updating walkthrough sections in a new interface. Rest all good.,,Positive,Outdated Material
I think the training is great. I really appreciate that strategy behind the different elements is shared. It helps to understand why you would do one thing over another.,,Positive,Practical Strategies
"This course teaches everything you need to know about AdWords. Also,  Corey provides a lot of different internet tools that will help you with your AdWords campaign. This course was well worth the money.",,Positive,Useful Resources
The course is aimed at beginners and hit's the mark. Sometimes beginner courses don't. The course is broken down into sensible and clear sections and the run throughs on a live Google account really help to show what has been explained.,,Positive,Beginner-Friendly
"Corey really knows AdWords, and he teaches it very well. His course has a perfect balance of lectures, walkthroughs in Google AdWords itself, and additional resources if you're hungry for more. I'm looking forward to taking his Google Analytics course.",,Positive,Instructor Presentation
"This tutorial has good content, but could use some polish on the production levels and instructor preparation.",,Negative,Instructor Presentation
This class reviews all the google adwords basics. I am very satisfied. Why near perfect : it misses a little case study of a real campaign from A to Z.,,Positive,Course Content
"This a great course to get started. I paid the discount price, not sure I'd be willing to pay the full price.",,Positive,None
This class is way to outdated.  It shouldn't even be offered.  It is impossible to follow as Google looks completely different now.  Names have changed and couldn't follow instructions.  This is a complete waste of time,,Negative,Outdated Material
"The information is useful and the overall course material is solid.  The lectures are extemporaneous, and could be more precise.  This would help strip out duplicate or ambiguous information, keeping the videos concise and focused.",,Positive,Instructor Presentation
"It was a very good course, showing me exactly what to focus on , when creating Google ad words. Excellent course.",,Positive,Course Content
"Very comprehensive, easy to understand, and will definitely recommend this course for those beginners.",,Positive,Beginner-Friendly
I am looking forward to my first campaign. This course made me feel confident that I can be successful.,,Positive,Beginner-Friendly
Excellent course for a beginner. Covered all the basics; it certainly gave me more confidence to explore Adwords.,,Positive,Beginner-Friendly
"This is a very good course for beginners like me. It's well organized, concise, and covers the basics well.",,Positive,Beginner-Friendly
Better understanding of the process to gain higher visibility of products awareness and competitive markets,,Positive,Course Content
This was a great course to learn about ad words especially if you don't have any knowledge of what ad words are.,,Positive,Beginner-Friendly
"I'm totally new to Google Adwords, and this course explained in details all I need to know to start work.",,Positive,Beginner-Friendly
"Very long course, instructor doesn't sound certain in his examples or his thoughts shared are not consolidated. So he takes a really long time to get to his point",,Negative,Instructor Presentation
Thanks ! i was completely beginner before your class and now i can easily manage my own campaign without too much trouble !,,Positive,Beginner-Friendly
"penjelasanya sangat mudah di pahami, mudah mudhn bisa memberikan pengetahuan yang baru untuk pengguna",,Positive,Clear Instructions
"I was able to pause the instruction, click over to my adwords campaign and make the changes as I was learning.",,Positive,AdWords Interface
"This is all new to me as I have hired for the skill up to this time. This program seems very well laid out, and informational. I feel like if I played with it for a little while I could enhance my understanding. Thanks!!",,Positive,Beginner-Friendly
"still very confused, stress levels are high because I had trouble getting in to course to start with",,Negative,None
"It is a good course, the walk through are very useful. It would be great to have a Goodle AdWords Advanced class.",,Positive,Walk-Throughs
"The subject is new to me so I have to repeat some parts to ""get it"".  The instruction is great! I'm just concerned about when I start putting it into practice :)",,Positive,Beginner-Friendly
