Content,Tag
"Taylor Swift delivered an absolutely magical performance! From the moment she stepped on stage, the entire stadium was on fire with excitement. She took us on a journey through all her eras—singing hits from Fearless to 1989, Lover, and even her latest songs. Every single detail, from the stunning visuals to the flawless choreography, was perfection.

Taylor’s connection with her fans is unreal. She spoke to the crowd like we were old friends, sharing stories behind her songs and even surprising us with acoustic versions of some deep cuts. Her vocals were incredible, and the emotional energy in the room gave me chills. You could feel the love and passion she pours into every performance.

The crowd was singing every word, the light-up bracelets synced with the music, and the whole night felt like a dream. If you ever get the chance to see Taylor Swift live—DO NOT miss it. It’s more than just a concert; it’s an experience you’ll never forget!",Memorable Night
"From start to finish it was a smooth process. Parking was very expensive, t it the venue is great! Taylor swift put on one of the best live shows I’ve ever seen. Her surprise songs were definitely the songs my friend I were showed to get. It was rare I was there. I remember it (or not so) Well",Incredible Performance
"From start to finish it was a smooth process. Parking was very expensive, t it the venue is great! Taylor swift put on one of the best live shows I’ve ever seen. Her surprise songs were definitely the songs my friend I were showed to get. It was rare I was there. I remember it (or not so) Well",Overall Organization
Would do it 13 times again in the pouring rain. Amazing experience thanks Tayyyyy ❤️,Magical Experience
one of the best concerts i have ever experienced!!! it was my first taylor concert and i would so go again,Best Concert Ever
one of the best concerts i have ever experienced!!! it was my first taylor concert and i would so go again,Taylor Swift's Energy
one of the best concerts i have ever experienced!!! it was my first taylor concert and i would so go again,Memorable Night
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Taylor Swift's Energy
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Amazing Production
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Long Show Duration
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Fan Community
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Magical Experience
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Memorable Night
"Words are truly not enough to fully encapsulate the energy, excitement and impressiveness that was The Eras Tour. Having seen the show on 3 separate occasions (Seattle and Vancouver x2), I never grew tired of walking through those stadium gates; the eager concert goers trading friendship bracelets with everyone they saw, the sparkling outfits that you know took months and months of preparation, the Swift-themed menu items, the spontaneous singalongs...and this was all before Taylor took the stage. The show itself felt more like a fever dream than a concert. The talent, coordination, composure and athleticism required to put on such a production is something that will be studied in high regard for years to come. The set flowed immaculately and went by in a blink, despite it being 3h long. Between the inside jokes, traditions old and new and overall classic Taylor Swift dazzling energy, this was a tour made for the fans, and it did not disappoint. Truly one of the best shows I have ever had the privilege of seeing. I will remember this tour all too well in the most enchanting way. Long Live the Eras Tour <3",Incredible Performance
"She’s absolutely amazing and such an inspiration to me and so many other people. She sounds incredible and the show was amazing. I’ve seen her 3 times now, once for reputation tour and twice for the eras tour. I loved everything about it all.",Incredible Performance
"She’s absolutely amazing and such an inspiration to me and so many other people. She sounds incredible and the show was amazing. I’ve seen her 3 times now, once for reputation tour and twice for the eras tour. I loved everything about it all.",Amazing Production
"She’s absolutely amazing and such an inspiration to me and so many other people. She sounds incredible and the show was amazing. I’ve seen her 3 times now, once for reputation tour and twice for the eras tour. I loved everything about it all.",Memorable Night
"From the long lines to the awesome shows, Taylor puts on is absolutely breathtaking. I’ve been following Taylor since she started out in 2005. She was an inspiration to me then and she’s an inspiration to my granddaughter now.!!! no matter how much money I spend, I’ll keep spending it to watch her shows!! I’ve been going to her concerts for a very long time and I plan on keeping it up. Her shows will be a family tradition and hopefully we’ll keep passing it down. Your shows are amazing Taylor keep it up. I love your outfits. I love your beautiful smile and so does my granddaughter Harley. We love you oh so much and will always be here and be your biggest fan. Thank you for coming to Tennessee!!! my granddaughter, and I drove from Alabama to Tennessee to see the ERA TOUR  AND BOY WHAT A SHOW BEAUTIFUL BEAUTIFUL JUST AS I EXPECTED IF NOT MORE! Loved the surprise songs you rock Taylor",Incredible Performance
"From the long lines to the awesome shows, Taylor puts on is absolutely breathtaking. I’ve been following Taylor since she started out in 2005. She was an inspiration to me then and she’s an inspiration to my granddaughter now.!!! no matter how much money I spend, I’ll keep spending it to watch her shows!! I’ve been going to her concerts for a very long time and I plan on keeping it up. Her shows will be a family tradition and hopefully we’ll keep passing it down. Your shows are amazing Taylor keep it up. I love your outfits. I love your beautiful smile and so does my granddaughter Harley. We love you oh so much and will always be here and be your biggest fan. Thank you for coming to Tennessee!!! my granddaughter, and I drove from Alabama to Tennessee to see the ERA TOUR  AND BOY WHAT A SHOW BEAUTIFUL BEAUTIFUL JUST AS I EXPECTED IF NOT MORE! Loved the surprise songs you rock Taylor",Taylor Swift's Energy
"From the long lines to the awesome shows, Taylor puts on is absolutely breathtaking. I’ve been following Taylor since she started out in 2005. She was an inspiration to me then and she’s an inspiration to my granddaughter now.!!! no matter how much money I spend, I’ll keep spending it to watch her shows!! I’ve been going to her concerts for a very long time and I plan on keeping it up. Her shows will be a family tradition and hopefully we’ll keep passing it down. Your shows are amazing Taylor keep it up. I love your outfits. I love your beautiful smile and so does my granddaughter Harley. We love you oh so much and will always be here and be your biggest fan. Thank you for coming to Tennessee!!! my granddaughter, and I drove from Alabama to Tennessee to see the ERA TOUR  AND BOY WHAT A SHOW BEAUTIFUL BEAUTIFUL JUST AS I EXPECTED IF NOT MORE! Loved the surprise songs you rock Taylor",Emotional Connection
"From the long lines to the awesome shows, Taylor puts on is absolutely breathtaking. I’ve been following Taylor since she started out in 2005. She was an inspiration to me then and she’s an inspiration to my granddaughter now.!!! no matter how much money I spend, I’ll keep spending it to watch her shows!! I’ve been going to her concerts for a very long time and I plan on keeping it up. Her shows will be a family tradition and hopefully we’ll keep passing it down. Your shows are amazing Taylor keep it up. I love your outfits. I love your beautiful smile and so does my granddaughter Harley. We love you oh so much and will always be here and be your biggest fan. Thank you for coming to Tennessee!!! my granddaughter, and I drove from Alabama to Tennessee to see the ERA TOUR  AND BOY WHAT A SHOW BEAUTIFUL BEAUTIFUL JUST AS I EXPECTED IF NOT MORE! Loved the surprise songs you rock Taylor",Fan Community
"From the long lines to the awesome shows, Taylor puts on is absolutely breathtaking. I’ve been following Taylor since she started out in 2005. She was an inspiration to me then and she’s an inspiration to my granddaughter now.!!! no matter how much money I spend, I’ll keep spending it to watch her shows!! I’ve been going to her concerts for a very long time and I plan on keeping it up. Her shows will be a family tradition and hopefully we’ll keep passing it down. Your shows are amazing Taylor keep it up. I love your outfits. I love your beautiful smile and so does my granddaughter Harley. We love you oh so much and will always be here and be your biggest fan. Thank you for coming to Tennessee!!! my granddaughter, and I drove from Alabama to Tennessee to see the ERA TOUR  AND BOY WHAT A SHOW BEAUTIFUL BEAUTIFUL JUST AS I EXPECTED IF NOT MORE! Loved the surprise songs you rock Taylor",Memorable Night
"I probably ruined concerts for myself and that’s okay. Taylor put on one of the best concerts ever, this will be in history books. Between getting the two surprise songs I really wanted and basically guessed , getting to see glow because Travis was there, watching Gracie, all the beautiful outfits, I can’t tell you how much better this could’ve been because it exceeded my expectations. Thank you Taylor for coming to Indy 💕",Best Concert Ever
"I probably ruined concerts for myself and that’s okay. Taylor put on one of the best concerts ever, this will be in history books. Between getting the two surprise songs I really wanted and basically guessed , getting to see glow because Travis was there, watching Gracie, all the beautiful outfits, I can’t tell you how much better this could’ve been because it exceeded my expectations. Thank you Taylor for coming to Indy 💕",Magical Experience
"I probably ruined concerts for myself and that’s okay. Taylor put on one of the best concerts ever, this will be in history books. Between getting the two surprise songs I really wanted and basically guessed , getting to see glow because Travis was there, watching Gracie, all the beautiful outfits, I can’t tell you how much better this could’ve been because it exceeded my expectations. Thank you Taylor for coming to Indy 💕",Emotional Connection
"The Eras Tour has been one of the best experiences of my live (and I haven‘t been a Swiftie in the at first). 
Speaking of the Swifties: The overall experience around the actuall show is just lovely and wholesome! Everyone is happy and wants to have a good time. 
The world would be a better place if it would be more like a TS show with the Swifties around. 

More than 3hrs pure joy and fun with a fast-track thru Taylor‘s career.",Magical Experience
"The Eras Tour has been one of the best experiences of my live (and I haven‘t been a Swiftie in the at first). 
Speaking of the Swifties: The overall experience around the actuall show is just lovely and wholesome! Everyone is happy and wants to have a good time. 
The world would be a better place if it would be more like a TS show with the Swifties around. 

More than 3hrs pure joy and fun with a fast-track thru Taylor‘s career.",Fan Community
"The Eras Tour has been one of the best experiences of my live (and I haven‘t been a Swiftie in the at first). 
Speaking of the Swifties: The overall experience around the actuall show is just lovely and wholesome! Everyone is happy and wants to have a good time. 
The world would be a better place if it would be more like a TS show with the Swifties around. 

More than 3hrs pure joy and fun with a fast-track thru Taylor‘s career.",Overall Organization
"The Eras Tour has been one of the best experiences of my live (and I haven‘t been a Swiftie in the at first). 
Speaking of the Swifties: The overall experience around the actuall show is just lovely and wholesome! Everyone is happy and wants to have a good time. 
The world would be a better place if it would be more like a TS show with the Swifties around. 

More than 3hrs pure joy and fun with a fast-track thru Taylor‘s career.",Long Show Duration
"Seeing The Eras Tour live was an incredible experience! Taylor and her team of dancers, signers, band, and stage crew are so incredibly talented and dedicated to putting on an amazing show!! Going to The Eras Tour was definitely the best day of my life and such an indescribable experience! It was so special to see Taylor perform for over 3 hours and to give us such powerful emotion and captivating choreography and costumes. Her costumes were so shiny and bedazzled it was almost impossible to not look at her the entire show, anytime I tried to look at the stage or screen my eyes were always brought back to Taylor in her glittering prime.",Incredible Performance
"Seeing The Eras Tour live was an incredible experience! Taylor and her team of dancers, signers, band, and stage crew are so incredibly talented and dedicated to putting on an amazing show!! Going to The Eras Tour was definitely the best day of my life and such an indescribable experience! It was so special to see Taylor perform for over 3 hours and to give us such powerful emotion and captivating choreography and costumes. Her costumes were so shiny and bedazzled it was almost impossible to not look at her the entire show, anytime I tried to look at the stage or screen my eyes were always brought back to Taylor in her glittering prime.",Amazing Production
"Seeing The Eras Tour live was an incredible experience! Taylor and her team of dancers, signers, band, and stage crew are so incredibly talented and dedicated to putting on an amazing show!! Going to The Eras Tour was definitely the best day of my life and such an indescribable experience! It was so special to see Taylor perform for over 3 hours and to give us such powerful emotion and captivating choreography and costumes. Her costumes were so shiny and bedazzled it was almost impossible to not look at her the entire show, anytime I tried to look at the stage or screen my eyes were always brought back to Taylor in her glittering prime.",Best Concert Ever
"Seeing The Eras Tour live was an incredible experience! Taylor and her team of dancers, signers, band, and stage crew are so incredibly talented and dedicated to putting on an amazing show!! Going to The Eras Tour was definitely the best day of my life and such an indescribable experience! It was so special to see Taylor perform for over 3 hours and to give us such powerful emotion and captivating choreography and costumes. Her costumes were so shiny and bedazzled it was almost impossible to not look at her the entire show, anytime I tried to look at the stage or screen my eyes were always brought back to Taylor in her glittering prime.",Emotional Connection
"Seeing The Eras Tour live was an incredible experience! Taylor and her team of dancers, signers, band, and stage crew are so incredibly talented and dedicated to putting on an amazing show!! Going to The Eras Tour was definitely the best day of my life and such an indescribable experience! It was so special to see Taylor perform for over 3 hours and to give us such powerful emotion and captivating choreography and costumes. Her costumes were so shiny and bedazzled it was almost impossible to not look at her the entire show, anytime I tried to look at the stage or screen my eyes were always brought back to Taylor in her glittering prime.",Long Show Duration
"absolutely incredible. the atmosphere & energy in the venue  was unlike anything I have ever felt before. being surrounded by fans who were happy and wanted to celebrate the final show. it was a true form of girlhood. I have never felt safer in a room of 60,000 people. Taylor and everyone involved in this show made everything so magical.",Incredible Performance
"absolutely incredible. the atmosphere & energy in the venue  was unlike anything I have ever felt before. being surrounded by fans who were happy and wanted to celebrate the final show. it was a true form of girlhood. I have never felt safer in a room of 60,000 people. Taylor and everyone involved in this show made everything so magical.",Atmosphere and Vibe
"absolutely incredible. the atmosphere & energy in the venue  was unlike anything I have ever felt before. being surrounded by fans who were happy and wanted to celebrate the final show. it was a true form of girlhood. I have never felt safer in a room of 60,000 people. Taylor and everyone involved in this show made everything so magical.",Taylor Swift's Energy
"absolutely incredible. the atmosphere & energy in the venue  was unlike anything I have ever felt before. being surrounded by fans who were happy and wanted to celebrate the final show. it was a true form of girlhood. I have never felt safer in a room of 60,000 people. Taylor and everyone involved in this show made everything so magical.",Magical Experience
"absolutely incredible. the atmosphere & energy in the venue  was unlike anything I have ever felt before. being surrounded by fans who were happy and wanted to celebrate the final show. it was a true form of girlhood. I have never felt safer in a room of 60,000 people. Taylor and everyone involved in this show made everything so magical.",Fan Community
"The show was everything one could hope it would be. Entry into and security for BC Place was smooth and professional, had no problems getting drink, food, merch, and leaving afterwards. The systems put into place to move folks through every aspect were clearly well considered. Taylor and her crew were just incredible. Words cannot describe how immensely amazing the entire evening was.",Incredible Performance
"The show was everything one could hope it would be. Entry into and security for BC Place was smooth and professional, had no problems getting drink, food, merch, and leaving afterwards. The systems put into place to move folks through every aspect were clearly well considered. Taylor and her crew were just incredible. Words cannot describe how immensely amazing the entire evening was.",Amazing Production
"The show was everything one could hope it would be. Entry into and security for BC Place was smooth and professional, had no problems getting drink, food, merch, and leaving afterwards. The systems put into place to move folks through every aspect were clearly well considered. Taylor and her crew were just incredible. Words cannot describe how immensely amazing the entire evening was.",Overall Organization
"The show was everything one could hope it would be. Entry into and security for BC Place was smooth and professional, had no problems getting drink, food, merch, and leaving afterwards. The systems put into place to move folks through every aspect were clearly well considered. Taylor and her crew were just incredible. Words cannot describe how immensely amazing the entire evening was.",Memorable Night
"All I can say is wow!!! My city definitely rolled out all the things for the last shows of The Eras Tour. I ended up getting a ticket to N1 from a complete stranger in Detroit. She gifted her behind the stage ticket to a lucky Swiftie🫶 

Getting into gate C was a little crazy as we had to cross over to Rogers Arena and then finally cross the street. The line went all the way back to Pacific. Although once in line it only took about 20 min to get in. 

I didn’t bother with merch as I went to Canada Place a couple of days before. Once I got to my seat I was pleasantly surprised that they had put screens up for the behind the stage seats. 

The overall vibes were awesome and the show was amazing. I’m still in awe and pinching myself that I got to go in the end. Great job BC Place and Vancouver!

Long Live The Eras Tour💕",Magical Experience
"All I can say is wow!!! My city definitely rolled out all the things for the last shows of The Eras Tour. I ended up getting a ticket to N1 from a complete stranger in Detroit. She gifted her behind the stage ticket to a lucky Swiftie🫶 

Getting into gate C was a little crazy as we had to cross over to Rogers Arena and then finally cross the street. The line went all the way back to Pacific. Although once in line it only took about 20 min to get in. 

I didn’t bother with merch as I went to Canada Place a couple of days before. Once I got to my seat I was pleasantly surprised that they had put screens up for the behind the stage seats. 

The overall vibes were awesome and the show was amazing. I’m still in awe and pinching myself that I got to go in the end. Great job BC Place and Vancouver!

Long Live The Eras Tour💕",Fan Community
"All I can say is wow!!! My city definitely rolled out all the things for the last shows of The Eras Tour. I ended up getting a ticket to N1 from a complete stranger in Detroit. She gifted her behind the stage ticket to a lucky Swiftie🫶 

Getting into gate C was a little crazy as we had to cross over to Rogers Arena and then finally cross the street. The line went all the way back to Pacific. Although once in line it only took about 20 min to get in. 

I didn’t bother with merch as I went to Canada Place a couple of days before. Once I got to my seat I was pleasantly surprised that they had put screens up for the behind the stage seats. 

The overall vibes were awesome and the show was amazing. I’m still in awe and pinching myself that I got to go in the end. Great job BC Place and Vancouver!

Long Live The Eras Tour💕",Atmosphere and Vibe
"All I can say is wow!!! My city definitely rolled out all the things for the last shows of The Eras Tour. I ended up getting a ticket to N1 from a complete stranger in Detroit. She gifted her behind the stage ticket to a lucky Swiftie🫶 

Getting into gate C was a little crazy as we had to cross over to Rogers Arena and then finally cross the street. The line went all the way back to Pacific. Although once in line it only took about 20 min to get in. 

I didn’t bother with merch as I went to Canada Place a couple of days before. Once I got to my seat I was pleasantly surprised that they had put screens up for the behind the stage seats. 

The overall vibes were awesome and the show was amazing. I’m still in awe and pinching myself that I got to go in the end. Great job BC Place and Vancouver!

Long Live The Eras Tour💕",Amazing Production
"All I can say is wow!!! My city definitely rolled out all the things for the last shows of The Eras Tour. I ended up getting a ticket to N1 from a complete stranger in Detroit. She gifted her behind the stage ticket to a lucky Swiftie🫶 

Getting into gate C was a little crazy as we had to cross over to Rogers Arena and then finally cross the street. The line went all the way back to Pacific. Although once in line it only took about 20 min to get in. 

I didn’t bother with merch as I went to Canada Place a couple of days before. Once I got to my seat I was pleasantly surprised that they had put screens up for the behind the stage seats. 

The overall vibes were awesome and the show was amazing. I’m still in awe and pinching myself that I got to go in the end. Great job BC Place and Vancouver!

Long Live The Eras Tour💕",Overall Organization
IT WAS AMAZING. I HAD RESTRICTED VIEW AND I STILL HAD THE MOST AMAZING TIME. I WENT TO CLOSING NIGHT AND IT WAS FANTASTIC. I WAS SO EXCITED TO GO AND MEET EVERYONE AND TRADE BRACELETS AND OF COURSE SEE TAYLOR. HER DANCERS DANCED FOR US DURING SONGS WE COULDNT SEE TAYLOR FROM OUT SEATS. 13/10 I WOULD LOVE TO GO AGAIN.,Incredible Performance
IT WAS AMAZING. I HAD RESTRICTED VIEW AND I STILL HAD THE MOST AMAZING TIME. I WENT TO CLOSING NIGHT AND IT WAS FANTASTIC. I WAS SO EXCITED TO GO AND MEET EVERYONE AND TRADE BRACELETS AND OF COURSE SEE TAYLOR. HER DANCERS DANCED FOR US DURING SONGS WE COULDNT SEE TAYLOR FROM OUT SEATS. 13/10 I WOULD LOVE TO GO AGAIN.,Fan Community
IT WAS AMAZING. I HAD RESTRICTED VIEW AND I STILL HAD THE MOST AMAZING TIME. I WENT TO CLOSING NIGHT AND IT WAS FANTASTIC. I WAS SO EXCITED TO GO AND MEET EVERYONE AND TRADE BRACELETS AND OF COURSE SEE TAYLOR. HER DANCERS DANCED FOR US DURING SONGS WE COULDNT SEE TAYLOR FROM OUT SEATS. 13/10 I WOULD LOVE TO GO AGAIN.,Memorable Night
"Untouchable is what The Eras Tour is and was! I had the time of my life fighting dragons with everyone that was there in person, and via the grainy livestreams. While I will always always wish that many a bot didn’t get their hands on tickets to resell via third party sites, I can’t help but appreciate that Taylor and her team also offered “no view” seats for the final weekend. That said, our seats still had an incredible view with the added bonus of seeing the entire tour crew in a behind the scenes style way. We sang, shook it off, cried, cheered (1-2-3 LGB), and left glitter on the floor after the party.",Incredible Performance
"Untouchable is what The Eras Tour is and was! I had the time of my life fighting dragons with everyone that was there in person, and via the grainy livestreams. While I will always always wish that many a bot didn’t get their hands on tickets to resell via third party sites, I can’t help but appreciate that Taylor and her team also offered “no view” seats for the final weekend. That said, our seats still had an incredible view with the added bonus of seeing the entire tour crew in a behind the scenes style way. We sang, shook it off, cried, cheered (1-2-3 LGB), and left glitter on the floor after the party.",Fan Community
"Untouchable is what The Eras Tour is and was! I had the time of my life fighting dragons with everyone that was there in person, and via the grainy livestreams. While I will always always wish that many a bot didn’t get their hands on tickets to resell via third party sites, I can’t help but appreciate that Taylor and her team also offered “no view” seats for the final weekend. That said, our seats still had an incredible view with the added bonus of seeing the entire tour crew in a behind the scenes style way. We sang, shook it off, cried, cheered (1-2-3 LGB), and left glitter on the floor after the party.",Ticketing Issues
